Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
PET,105,transparent,0.0912,0.0201,0.0222,0.0571,0.058,0.0723,0.0382,0.007
PET,105,transparent,0.0912,0.0201,0.0221,0.0571,0.058,0.0723,0.0383,0.007
PET,105,transparent,0.0913,0.0201,0.0221,0.0571,0.058,0.0723,0.0382,0.007
PET,105,transparent,0.0914,0.0201,0.0221,0.0571,0.058,0.0724,0.0383,0.007
PET,105,transparent,0.0914,0.0202,0.0222,0.0572,0.0581,0.0724,0.0383,0.007
PET,106,red transparent,0.0264,0.0167,0.0348,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0264,0.0167,0.0348,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0067
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0066
PET,107,transparent,0.0196,0.0148,0.0246,0.0326,0.0276,0.0231,0.0368,0.0063
PET,107,transparent,0.0195,0.0148,0.0244,0.0326,0.0276,0.0231,0.0369,0.0063
PET,107,transparent,0.0196,0.0148,0.0245,0.0326,0.0276,0.0231,0.0368,0.0063
PET,107,transparent,0.0195,0.0148,0.0245,0.0326,0.0276,0.0231,0.0369,0.0063
PET,107,transparent,0.0195,0.0149,0.0245,0.0326,0.0277,0.0231,0.0368,0.0063
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0839,0.0719,0.081,0.012
PET,109,green,0.1292,0.0558,0.0741,0.1103,0.0838,0.0718,0.081,0.012
PET,109,green,0.1292,0.0558,0.0741,0.1103,0.0839,0.0719,0.081,0.012
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0839,0.0718,0.081,0.012
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0838,0.0719,0.081,0.012
PET,110,transparent,0.0225,0.0125,0.0141,0.0194,0.0202,0.0181,0.0257,0.0054
PET,110,transparent,0.0225,0.0124,0.0141,0.0195,0.0201,0.0182,0.0257,0.0054
PET,110,transparent,0.0224,0.0124,0.0141,0.0194,0.0202,0.0182,0.0257,0.0054
PET,110,transparent,0.0225,0.0124,0.0141,0.0194,0.0202,0.0181,0.0257,0.0054
PET,110,transparent,0.0224,0.0124,0.014,0.0194,0.0201,0.0181,0.0257,0.0053
PET,119,white,0.1585,0.0735,0.1043,0.1291,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1044,0.1292,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1045,0.1292,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1045,0.1292,0.1096,0.0994,0.1058,0.0169
PET,119,white,0.1584,0.0735,0.1044,0.1292,0.1095,0.0994,0.1058,0.0169
PET,129,transparent,0.0127,0.0092,0.0113,0.0189,0.0528,0.0343,0.0591,0.0056
PET,129,transparent,0.0127,0.0092,0.0113,0.0189,0.0529,0.0343,0.0591,0.0056
PET,129,transparent,0.0127,0.0093,0.0113,0.0189,0.0529,0.0344,0.0591,0.0056
PET,129,transparent,0.0127,0.0092,0.0112,0.0189,0.0529,0.0345,0.0591,0.0056
PET,129,transparent,0.0127,0.0093,0.0112,0.0189,0.0529,0.0344,0.0591,0.0056
PET,135,transparent,0.016,0.0094,0.0584,0.0271,0.0302,0.0328,0.0953,0.0046
PET,135,transparent,0.016,0.0094,0.0584,0.0271,0.0301,0.0327,0.0953,0.0046
PET,135,transparent,0.016,0.0094,0.0584,0.0271,0.0302,0.0327,0.0953,0.0046
PET,135,transparent,0.016,0.0094,0.0585,0.0271,0.0301,0.0327,0.0953,0.0046
PET,135,transparent,0.016,0.0094,0.0584,0.0272,0.0302,0.0328,0.0952,0.0046
