Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
PP,2,white,0.1772,0.0787,0.1084,0.1292,0.1093,0.0956,0.1363,0.021
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1093,0.0957,0.1363,0.0211
PP,2,white,0.1771,0.0787,0.1084,0.1292,0.1092,0.0956,0.1363,0.0211
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1093,0.0957,0.1363,0.0211
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1094,0.0956,0.1363,0.0211
PP,10,white,0.171,0.0799,0.111,0.136,0.1212,0.108,0.1523,0.0228
PP,10,white,0.1709,0.0798,0.111,0.136,0.1212,0.108,0.1522,0.0228
PP,10,white,0.171,0.0799,0.111,0.1361,0.1212,0.1079,0.1522,0.0228
PP,10,white,0.171,0.0799,0.1111,0.1361,0.1212,0.1081,0.1522,0.0228
PP,10,white,0.171,0.0799,0.1111,0.1361,0.1212,0.108,0.1523,0.0228
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0777,0.097,0.0129
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0778,0.097,0.0129
PP,11,purple,0.1083,0.0481,0.0598,0.0869,0.0894,0.0777,0.097,0.0129
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0778,0.0969,0.0129
PP,11,purple,0.1082,0.048,0.0598,0.0869,0.0894,0.0777,0.0969,0.0129
PP,12,white,0.1283,0.0592,0.0816,0.0944,0.079,0.0675,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0675,0.096,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0417,0.0529,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0418,0.0528,0.0076
PP,20,purple,0.0306,0.0239,0.0332,0.0434,0.0445,0.0417,0.0528,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0417,0.0528,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0416,0.0528,0.0076
PP,23,white,0.1821,0.0823,0.1105,0.153,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0823,0.1105,0.1531,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0823,0.1105,0.1531,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0822,0.1105,0.1531,0.1398,0.129,0.1848,0.027
PP,23,white,0.182,0.0823,0.1106,0.153,0.1398,0.129,0.1848,0.027
PP,25,white,0.1564,0.0761,0.1087,0.1365,0.1443,0.1315,0.1867,0.0245
PP,25,white,0.1563,0.0761,0.1087,0.1365,0.1442,0.1314,0.1866,0.0245
PP,25,white,0.1563,0.0762,0.1087,0.1366,0.1443,0.1315,0.1867,0.0246
PP,25,white,0.1563,0.0761,0.1087,0.1365,0.1443,0.1315,0.1867,0.0245
PP,25,white,0.1562,0.0761,0.1087,0.1366,0.1443,0.1314,0.1866,0.0246
