Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
spectralon,,white,0.1552,0.1244,0.1359,0.1623,0.1517,0.1701,0.2286,0.041
spectralon,,white,0.155,0.1244,0.1359,0.1624,0.1516,0.1701,0.2286,0.041
spectralon,,white,0.155,0.1245,0.1359,0.1623,0.1517,0.1701,0.2285,0.041
spectralon,,white,0.155,0.1244,0.1359,0.1624,0.1517,0.1701,0.2285,0.0411
spectralon,,white,0.1551,0.1244,0.136,0.1624,0.1517,0.1701,0.2285,0.041
open,,,0.0974,0.1017,0.0887,0.1044,0.0933,0.1017,0.1011,0.0917
open,,,0.096,0.0949,0.1014,0.0889,0.104,0.0937,0.1011,0.0988
open,,,0.0877,0.0995,0.0934,0.0937,0.0999,0.0872,0.1028,0.0897
open,,,0.0951,0.0891,0.0997,0.0873,0.1007,0.0931,0.0967,0.0975
open,,,0.094,0.0978,0.0854,0.1007,0.0897,0.0986,0.0972,0.0883
dark,,,0.0032,0.0033,0.0031,0.0038,0.0042,0.0041,0.0056,0.0023
dark,,,0.003,0.0031,0.0028,0.0037,0.004,0.0039,0.0054,0.0021
PP,2,white,0.1191,0.0929,0.0851,0.1057,0.0812,0.0936,0.1212,0.0212
PP,2,white,0.1191,0.0929,0.0851,0.1057,0.0812,0.0936,0.1212,0.0212
PP,2,white,0.119,0.0929,0.0851,0.1057,0.0812,0.0935,0.1211,0.0212
PP,2,white,0.1191,0.0929,0.0851,0.1057,0.0812,0.0935,0.1211,0.0213
PP,2,white,0.119,0.0929,0.0851,0.1057,0.0812,0.0936,0.1211,0.0212
PP,10,white,0.1177,0.0902,0.0813,0.1004,0.0788,0.0881,0.1145,0.0201
PP,10,white,0.1177,0.0902,0.0813,0.1005,0.0789,0.0881,0.1145,0.02
PP,10,white,0.1177,0.0902,0.0813,0.1004,0.0789,0.0881,0.1145,0.0201
PP,10,white,0.1177,0.0902,0.0813,0.1004,0.0788,0.0881,0.1145,0.0201
PP,10,white,0.1176,0.0902,0.0813,0.1004,0.0789,0.0881,0.1144,0.0202
PP,11,purple,0.077,0.0533,0.0457,0.0694,0.0538,0.062,0.0633,0.0118
PP,11,purple,0.077,0.0532,0.0456,0.0693,0.0536,0.062,0.0632,0.0118
PP,11,purple,0.077,0.0533,0.0458,0.0694,0.0537,0.0621,0.0633,0.0119
PP,11,purple,0.0771,0.0533,0.0457,0.0694,0.0537,0.062,0.0633,0.0118
PP,11,purple,0.0771,0.0533,0.0457,0.0694,0.0537,0.062,0.0633,0.0118
PP,12,white,0.0883,0.0662,0.0537,0.0648,0.0461,0.0563,0.0678,0.0122
PP,12,white,0.0883,0.0662,0.0537,0.0648,0.0461,0.0563,0.0678,0.0121
PP,12,white,0.0883,0.0662,0.0538,0.0648,0.046,0.0564,0.0678,0.0121
PP,12,white,0.0883,0.0662,0.0537,0.0648,0.0461,0.0564,0.0678,0.0121
PP,12,white,0.0883,0.0662,0.0537,0.0648,0.0461,0.0563,0.0678,0.0121
PP,20,purple,0.0266,0.0213,0.0202,0.025,0.0284,0.0245,0.0362,0.0046
PP,20,purple,0.0266,0.0214,0.0202,0.0251,0.0284,0.0245,0.0362,0.0046
PP,20,purple,0.0266,0.0214,0.0202,0.0249,0.0284,0.0245,0.0362,0.0046
PP,20,purple,0.0266,0.0213,0.0202,0.025,0.0284,0.0245,0.0362,0.0045
PP,20,purple,0.0266,0.0214,0.0202,0.025,0.0284,0.0245,0.0362,0.0046
PP,23,white,0.1247,0.0973,0.0879,0.1135,0.0918,0.1071,0.1324,0.0242
PP,23,white,0.1247,0.0972,0.0879,0.1136,0.0917,0.107,0.1323,0.0242
PP,23,white,0.1246,0.0972,0.0879,0.1135,0.0918,0.107,0.1323,0.0242
PP,23,white,0.1246,0.0973,0.0878,0.1135,0.0918,0.107,0.1323,0.0243
PP,23,white,0.1246,0.0972,0.0879,0.1136,0.0918,0.107,0.1323,0.0242
