Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
PS,301,brown,0.0553,0.0301,0.0443,0.0565,0.0571,0.0499,0.0687,0.0109
PS,301,brown,0.0553,0.0302,0.0443,0.0565,0.0572,0.0499,0.0687,0.011
PS,301,brown,0.0553,0.0302,0.0443,0.0565,0.0571,0.0499,0.0687,0.0109
PS,301,brown,0.0553,0.0302,0.0443,0.0565,0.0571,0.0499,0.0687,0.011
PS,301,brown,0.0553,0.0302,0.0443,0.0565,0.0571,0.05,0.0687,0.0108
PS,301,black,0.0175,0.0095,0.0119,0.0217,0.0231,0.02,0.0302,0.005
PS,301,black,0.0176,0.0096,0.0119,0.0218,0.0231,0.02,0.0302,0.005
PS,301,black,0.0176,0.0095,0.0119,0.0217,0.0231,0.02,0.0302,0.005
PS,301,black,0.0176,0.0095,0.0119,0.0217,0.0231,0.0199,0.0302,0.005
PS,301,black,0.0176,0.0096,0.0119,0.0218,0.0231,0.02,0.0302,0.005
PS,302,white,0.0989,0.0497,0.0766,0.0834,0.0803,0.0659,0.0901,0.0136
PS,302,white,0.0989,0.0498,0.0767,0.0835,0.0804,0.066,0.0901,0.0136
PS,302,white,0.0988,0.0498,0.0766,0.0834,0.0804,0.0659,0.0901,0.0137
PS,302,white,0.0988,0.0498,0.0766,0.0835,0.0804,0.066,0.0902,0.0136
PS,302,white,0.0988,0.0498,0.0766,0.0835,0.0804,0.0659,0.0902,0.0137
PS,303,white,0.1455,0.0612,0.0884,0.1095,0.1022,0.0838,0.1055,0.0169
PS,303,white,0.1455,0.0612,0.0884,0.1095,0.1022,0.0838,0.1055,0.0169
PS,303,white,0.1455,0.0612,0.0884,0.1095,0.1022,0.0837,0.1055,0.0169
PS,303,white,0.1454,0.0612,0.0884,0.1095,0.1022,0.0837,0.1055,0.0169
PS,303,white,0.1455,0.0612,0.0884,0.1096,0.1022,0.0837,0.1055,0.0169
PS,305,white,0.1421,0.0651,0.0934,0.1056,0.0996,0.0875,0.1129,0.0168
PS,305,white,0.1421,0.0651,0.0934,0.1056,0.0996,0.0875,0.113,0.0168
PS,305,white,0.142,0.0651,0.0933,0.1056,0.0996,0.0875,0.1129,0.0168
PS,305,white,0.1421,0.0651,0.0934,0.1056,0.0996,0.0875,0.1129,0.0168
PS,305,white,0.142,0.0651,0.0933,0.1056,0.0995,0.0875,0.1131,0.0168
PS,306,white,0.1887,0.0876,0.1365,0.1608,0.1578,0.1369,0.1796,0.0255
PS,306,white,0.1887,0.0876,0.1365,0.1609,0.1578,0.1369,0.1797,0.0255
PS,306,white,0.1887,0.0876,0.1365,0.1609,0.1578,0.1369,0.1797,0.0255
PS,306,white,0.1886,0.0876,0.1365,0.1608,0.1578,0.1369,0.1797,0.0255
PS,306,white,0.1886,0.0876,0.1365,0.1609,0.1578,0.1369,0.1797,0.0255
PS,306,white,0.1886,0.0876,0.1365,0.1609,0.1578,0.1369,0.1797,0.0255
