Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
HDPE,202,white,0.1251,0.0992,0.0884,0.1077,0.0867,0.1021,0.1415,0.025
HDPE,202,white,0.125,0.0992,0.0883,0.1076,0.0868,0.102,0.1415,0.025
HDPE,202,white,0.1251,0.0992,0.0885,0.1076,0.0868,0.102,0.1415,0.025
HDPE,202,white,0.1251,0.0992,0.0884,0.1076,0.0867,0.102,0.1415,0.025
HDPE,202,white,0.1251,0.0992,0.0883,0.1077,0.0867,0.102,0.1415,0.025
HDPE,203,yellow,0.0517,0.038,0.0294,0.0332,0.026,0.027,0.041,0.0071
HDPE,203,yellow,0.0518,0.038,0.0295,0.0333,0.026,0.027,0.041,0.0071
HDPE,203,yellow,0.0517,0.038,0.0295,0.0333,0.026,0.027,0.041,0.0071
HDPE,203,yellow,0.0517,0.038,0.0295,0.0332,0.0261,0.027,0.0409,0.0071
HDPE,203,yellow,0.0517,0.038,0.0295,0.0333,0.0259,0.027,0.041,0.0071
HDPE,206,white,0.1308,0.105,0.0997,0.1235,0.1017,0.1178,0.1576,0.0276
HDPE,206,white,0.1307,0.105,0.0997,0.1235,0.1016,0.1178,0.1576,0.0276
HDPE,206,white,0.1307,0.1049,0.0997,0.1235,0.1017,0.1178,0.1576,0.0276
HDPE,206,white,0.1307,0.1049,0.0997,0.1236,0.1017,0.1178,0.1576,0.0275
HDPE,206,white,0.1307,0.105,0.0997,0.1236,0.1018,0.1178,0.1576,0.0276
HDPE,207,pink,0.0646,0.0475,0.0379,0.0466,0.0326,0.0361,0.0479,0.0086
HDPE,207,pink,0.0646,0.0475,0.0379,0.0466,0.0326,0.0362,0.0478,0.0086
HDPE,207,pink,0.0645,0.0475,0.0379,0.0466,0.0325,0.0362,0.0479,0.0085
HDPE,207,pink,0.0645,0.0475,0.0379,0.0466,0.0326,0.0362,0.0478,0.0086
HDPE,207,pink,0.0646,0.0475,0.0379,0.0466,0.0326,0.0361,0.0479,0.0086
HDPE,209,red,0.0565,0.0437,0.0365,0.0367,0.0273,0.0313,0.0371,0.0069
HDPE,209,red,0.0565,0.0437,0.0365,0.0367,0.0273,0.0312,0.0371,0.0069
HDPE,209,red,0.0565,0.0437,0.0365,0.0367,0.0273,0.0313,0.037,0.0069
HDPE,209,red,0.0564,0.0437,0.0365,0.0367,0.0272,0.0312,0.037,0.0069
HDPE,209,red,0.0565,0.0437,0.0365,0.0368,0.0273,0.0313,0.037,0.0069
HDPE,210,white,0.0955,0.0696,0.0697,0.0762,0.063,0.0693,0.0922,0.0162
HDPE,210,white,0.0955,0.0695,0.0697,0.0762,0.063,0.0693,0.0921,0.0162
HDPE,210,white,0.0955,0.0696,0.0697,0.0762,0.0631,0.0694,0.0921,0.0163
HDPE,210,white,0.0955,0.0697,0.0697,0.0762,0.0631,0.0693,0.0921,0.0163
HDPE,210,white,0.0954,0.0696,0.0697,0.0762,0.063,0.0694,0.0921,0.0163
HDPE,211,white transparent,0.0299,0.0225,0.0199,0.0247,0.0204,0.0219,0.0301,0.006
HDPE,211,white transparent,0.03,0.0225,0.0199,0.0247,0.0204,0.0219,0.0301,0.006
HDPE,211,white transparent,0.0299,0.0225,0.0199,0.0247,0.0204,0.0219,0.0301,0.006
HDPE,211,white transparent,0.0299,0.0226,0.0199,0.0246,0.0204,0.0219,0.0301,0.006
HDPE,211,white transparent,0.03,0.0225,0.0199,0.0247,0.0204,0.0219,0.0301,0.006
HDPE,212,white,0.1259,0.0933,0.0811,0.0991,0.0779,0.0913,0.1202,0.0212
HDPE,212,white,0.1259,0.0932,0.0812,0.0991,0.0778,0.0913,0.1202,0.0212
HDPE,212,white,0.1258,0.0933,0.0811,0.0991,0.0779,0.0912,0.1202,0.0212
HDPE,212,white,0.1258,0.0933,0.0812,0.0992,0.0779,0.0913,0.1201,0.0212
HDPE,212,white,0.1259,0.0932,0.0812,0.0992,0.0779,0.0913,0.1202,0.0212
HDPE,213,gold,0.0816,0.0641,0.0704,0.0863,0.0696,0.0795,0.0968,0.016
HDPE,213,gold,0.0815,0.0641,0.0704,0.0863,0.0696,0.0794,0.0968,0.0161
HDPE,213,gold,0.0815,0.0642,0.0704,0.0863,0.0697,0.0794,0.0968,0.0161
HDPE,213,gold,0.0815,0.0642,0.0705,0.0863,0.0697,0.0795,0.0968,0.0161
HDPE,213,gold,0.0815,0.0641,0.0704,0.0863,0.0697,0.0794,0.0968,0.0161
HDPE,214,white,0.1463,0.106,0.0983,0.1216,0.1022,0.112,0.1469,0.0254
HDPE,214,white,0.1463,0.106,0.0983,0.1216,0.1022,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1022,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1023,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1022,0.112,0.1468,0.0254
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.031,0.0302,0.0443,0.0089
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.031,0.0302,0.0443,0.0089
HDPE,215,grey,0.0573,0.0424,0.0337,0.0376,0.031,0.0303,0.0441,0.009
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.0311,0.0303,0.0442,0.009
HDPE,215,grey,0.0573,0.0423,0.0337,0.0377,0.0311,0.0303,0.0443,0.0089
HDPE,216,white transparent,0.0295,0.0224,0.0196,0.0234,0.0201,0.0223,0.0294,0.0058
HDPE,216,white transparent,0.0295,0.0224,0.0195,0.0234,0.0202,0.0223,0.0294,0.0059
HDPE,216,white transparent,0.0295,0.0225,0.0196,0.0234,0.0201,0.0224,0.0293,0.0059
HDPE,216,white transparent,0.0295,0.0224,0.0196,0.0234,0.0202,0.0224,0.0293,0.0059
HDPE,216,white transparent,0.0296,0.0224,0.0195,0.0234,0.0201,0.0223,0.0294,0.0058
HDPE,217,purple,0.0835,0.0553,0.0629,0.0686,0.0489,0.0554,0.0653,0.0124
HDPE,217,purple,0.0835,0.0552,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,217,purple,0.0836,0.0552,0.0629,0.0686,0.0489,0.0554,0.0653,0.0124
HDPE,217,purple,0.0834,0.0553,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,217,purple,0.0834,0.0552,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.0549,0.0495,0.0712,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0495,0.0711,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0493,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0148
HDPE,223,white,0.127,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
