230
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9103,500; 2348,500;19637,500;39,07109
1019,01; 9491,800; 2352,700;20829,700;38,63777
1023,54; 9871,500; 2377,000;21962,200;38,26614
1028,07;10178,500; 2352,700;23028,700;37,84968
1032,59;10522,400; 2345,300;24165,800;37,47439
1037,10;10970,900; 2317,300;25614,800;37,14390
1041,62;11344,500; 2350,000;26799,400;36,78822
1046,12;11794,100; 2427,500;28080,800;36,51226
1050,62;11987,600; 2344,700;28925,600;36,27755
1055,12;12215,000; 2300,600;29808,600;36,04188
1059,62;12494,000; 2304,000;30750,500;35,82163
1064,10;12889,300; 2352,400;31934,300;35,61942
1068,59;13185,500; 2395,400;32879,900;35,39536
1073,07;13474,900; 2329,700;33988,100;35,20456
1077,54;13729,600; 2333,200;34909,400;34,98382
1082,01;14061,700; 2383,100;36084,400;34,65326
1086,48;14294,700; 2367,300;37013,200;34,42658
1090,94;14383,200; 2303,100;37697,100;34,13036
1095,39;14806,900; 2435,000;38991,300;33,84341
1099,85;15027,400; 2333,800;40179,000;33,54085
1104,29;15235,800; 2343,900;41108,400;33,25697
1108,73;15405,700; 2303,100;42037,300;32,97562
1113,17;15622,700; 2407,700;42761,500;32,74785
1117,61;15727,800; 2355,500;43454,900;32,53648
1122,03;15865,100; 2409,900;44116,600;32,26148
1126,46;15885,400; 2310,600;44683,800;32,03629
1130,88;15928,600; 2301,200;45196,100;31,76928
1135,29;16076,400; 2423,100;45857,400;31,43437
1139,70;15995,000; 2288,100;46461,700;31,02962
1144,11;15969,500; 2306,000;47061,800;30,52900
1148,51;15909,100; 2313,600;47677,600;29,96980
1152,90;15760,900; 2332,800;47946,200;29,43894
1157,29;15585,700; 2292,900;48421,700;28,81670
1161,68;15316,500; 2313,100;48619,300;28,08134
1166,06;14996,900; 2309,600;48732,900;27,32960
1170,44;14764,700; 2366,100;48547,000;26,84790
1174,81;14289,500; 2318,600;47745,300;26,35212
1179,18;13936,600; 2329,700;47463,900;25,71642
1183,54;13475,000; 2345,800;47060,900;24,88913
