917-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;23025,500; 2348,500;19637,500;119,59628
1019,01;24377,600; 2352,700;20829,700;119,20171
1023,54;25673,900; 2377,000;21962,200;118,95156
1028,07;26902,800; 2352,700;23028,700;118,73718
1032,59;28241,400; 2345,300;24165,800;118,67785
1037,10;29977,100; 2317,300;25614,800;118,72433
1041,62;31384,500; 2350,000;26799,400;118,75343
1046,12;32864,100; 2427,500;28080,800;118,64594
1050,62;33860,400; 2344,700;28925,600;118,56521
1055,12;34885,600; 2300,600;29808,600;118,45645
1059,62;36000,900; 2304,000;30750,500;118,45710
1064,10;37409,900; 2352,400;31934,300;118,50997
1068,59;38562,800; 2395,400;32879,900;118,64193
1073,07;39955,900; 2329,700;33988,100;118,85061
1077,54;41048,700; 2333,200;34909,400;118,84597
1082,01;42377,000; 2383,100;36084,400;118,67168
1086,48;43417,700; 2367,300;37013,200;118,48559
1090,94;44163,200; 2303,100;37697,100;118,26892
1095,39;45601,500; 2435,000;38991,300;118,08225
1099,85;46921,100; 2333,800;40179,000;117,81494
1104,29;47888,600; 2343,900;41108,400;117,49075
1108,73;48883,400; 2303,100;42037,300;117,22974
1113,17;49650,400; 2407,700;42761,500;117,07125
1117,61;50413,300; 2355,500;43454,900;116,93066
1122,03;51058,700; 2409,900;44116,600;116,64505
1126,46;51535,100; 2310,600;44683,800;116,16895
1130,88;51937,000; 2301,200;45196,100;115,71492
1135,29;52372,800; 2423,100;45857,400;115,00059
1139,70;52566,100; 2288,100;46461,700;113,81911
1144,11;52639,700; 2306,000;47061,800;112,46297
1148,51;52768,100; 2313,600;47677,600;111,22145
1152,90;52311,300; 2332,800;47946,200;109,56978
1157,29;51818,800; 2292,900;48421,700;107,36438
1161,68;50827,100; 2313,100;48619,300;104,76783
1166,06;49719,600; 2309,600;48732,900;102,12544
1170,44;48637,600; 2366,100;48547,000;100,19619
1174,81;47570,000; 2318,600;47745,300;99,61410
1179,18;47235,400; 2329,700;47463,900;99,49373
1183,54;46613,800; 2345,800;47060,900;99,00011
