abswhite
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;14162,100; 2348,500;19637,500;68,33015
1019,01;14880,600; 2352,700;20829,700;67,80267
1023,54;15584,800; 2377,000;21962,200;67,43766
1028,07;16221,200; 2352,700;23028,700;67,07535
1032,59;16902,200; 2345,300;24165,800;66,71204
1037,10;17796,400; 2317,300;25614,800;66,44103
1041,62;18497,300; 2350,000;26799,400;66,04375
1046,12;19269,400; 2427,500;28080,800;65,65198
1050,62;19698,900; 2344,700;28925,600;65,28823
1055,12;20172,900; 2300,600;29808,600;64,97128
1059,62;20701,200; 2304,000;30750,500;64,67298
1064,10;21396,200; 2352,400;31934,300;64,37653
1068,59;21934,900; 2395,400;32879,900;64,09651
1073,07;22544,200; 2329,700;33988,100;63,85193
1077,54;23017,800; 2333,200;34909,400;63,49605
1082,01;23639,200; 2383,100;36084,400;63,07205
1086,48;24067,600; 2367,300;37013,200;62,63454
1090,94;24310,500; 2303,100;37697,100;62,17834
1095,39;24970,300; 2435,000;38991,300;61,64546
1099,85;25451,200; 2333,800;40179,000;61,08410
1104,29;25781,100; 2343,900;41108,400;60,46047
1108,73;26055,400; 2303,100;42037,300;59,77797
1113,17;26207,400; 2407,700;42761,500;58,97759
1117,61;26219,400; 2355,500;43454,900;58,06386
1122,03;26193,500; 2409,900;44116,600;57,02585
1126,46;25996,100; 2310,600;44683,800;55,89736
1130,88;25735,200; 2301,200;45196,100;54,63120
1135,29;25593,400; 2423,100;45857,400;53,34563
1139,70;25399,900; 2288,100;46461,700;52,32039
1144,11;25504,400; 2306,000;47061,800;51,83328
1148,51;25827,700; 2313,600;47677,600;51,83427
1152,90;26112,200; 2332,800;47946,200;52,13249
1157,29;26414,600; 2292,900;48421,700;52,29206
1161,68;26446,100; 2313,100;48619,300;52,11613
1166,06;26288,000; 2309,600;48732,900;51,65165
1170,44;25954,200; 2366,100;48547,000;51,07761
1174,81;25265,800; 2318,600;47745,300;50,51479
1179,18;24901,300; 2329,700;47463,900;50,00997
1183,54;24438,400; 2345,800;47060,900;49,40747
