blue3mtapeholder
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8997,900; 2348,500;19637,500;38,46029
1019,01; 9387,800; 2352,700;20829,700;38,07490
1023,54; 9777,600; 2377,000;21962,200;37,78670
1028,07;10095,000; 2352,700;23028,700;37,44583
1032,59;10453,700; 2345,300;24165,800;37,15955
1037,10;10910,000; 2317,300;25614,800;36,88250
1041,62;11280,800; 2350,000;26799,400;36,52769
1046,12;11718,100; 2427,500;28080,800;36,21600
1050,62;11884,200; 2344,700;28925,600;35,88855
1055,12;12078,600; 2300,600;29808,600;35,54602
1059,62;12331,400; 2304,000;30750,500;35,25003
1064,10;12685,700; 2352,400;31934,300;34,93116
1068,59;12934,600; 2395,400;32879,900;34,57232
1073,07;13174,300; 2329,700;33988,100;34,25505
1077,54;13376,400; 2333,200;34909,400;33,89960
1082,01;13669,100; 2383,100;36084,400;33,48832
1086,48;13863,200; 2367,300;37013,200;33,18113
1090,94;13943,000; 2303,100;37697,100;32,88665
1095,39;14352,900; 2435,000;38991,300;32,60149
1099,85;14561,600; 2333,800;40179,000;32,31004
1104,29;14755,200; 2343,900;41108,400;32,01718
1108,73;14888,100; 2303,100;42037,300;31,67297
1113,17;15034,100; 2407,700;42761,500;31,28925
1117,61;15025,800; 2355,500;43454,900;30,82843
1122,03;15025,200; 2409,900;44116,600;30,24766
1126,46;14865,300; 2310,600;44683,800;29,62887
1130,88;14687,500; 2301,200;45196,100;28,87593
1135,29;14591,800; 2423,100;45857,400;28,01634
1139,70;14338,400; 2288,100;46461,700;27,27942
1144,11;14350,000; 2306,000;47061,800;26,91048
1148,51;14587,400; 2313,600;47677,600;27,05626
1152,90;14886,600; 2332,800;47946,200;27,52218
1157,29;15189,100; 2292,900;48421,700;27,95694
1161,68;15338,100; 2313,100;48619,300;28,12798
1166,06;15345,400; 2309,600;48732,900;28,08030
1170,44;15269,900; 2366,100;48547,000;27,94185
1174,81;14913,500; 2318,600;47745,300;27,72576
1179,18;14747,700; 2329,700;47463,900;27,51350
1183,54;14524,300; 2345,800;47060,900;27,23577
