clearcrispyplastic
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;19293,800; 2348,500;19637,500;98,01203
1019,01;20444,500; 2352,700;20829,700;97,91525
1023,54;21497,300; 2377,000;21962,200;97,62627
1028,07;22482,900; 2352,700;23028,700;97,36022
1032,59;23578,300; 2345,300;24165,800;97,30758
1037,10;25026,700; 2317,300;25614,800;97,47569
1041,62;26218,400; 2350,000;26799,400;97,62366
1046,12;27461,000; 2427,500;28080,800;97,58394
1050,62;28230,300; 2344,700;28925,600;97,38421
1055,12;29011,100; 2300,600;29808,600;97,10084
1059,62;29867,500; 2304,000;30750,500;96,89593
1064,10;31013,300; 2352,400;31934,300;96,88661
1068,59;31997,200; 2395,400;32879,900;97,10443
1073,07;33182,600; 2329,700;33988,100;97,45565
1077,54;34149,600; 2333,200;34909,400;97,66762
1082,01;35270,800; 2383,100;36084,400;97,58585
1086,48;36077,800; 2367,300;37013,200;97,30011
1090,94;36608,500; 2303,100;37697,100;96,92434
1095,39;37768,200; 2435,000;38991,300;96,65420
1099,85;38855,800; 2333,800;40179,000;96,50365
1104,29;39747,600; 2343,900;41108,400;96,48957
1108,73;40679,800; 2303,100;42037,300;96,58355
1113,17;41402,400; 2407,700;42761,500;96,63204
1117,61;42016,300; 2355,500;43454,900;96,49971
1122,03;42523,100; 2409,900;44116,600;96,17927
1126,46;42857,700; 2310,600;44683,800;95,69044
1130,88;43133,800; 2301,200;45196,100;95,19220
1135,29;43580,000; 2423,100;45857,400;94,75668
1139,70;43995,100; 2288,100;46461,700;94,41612
1144,11;44567,300; 2306,000;47061,800;94,42642
1148,51;45342,800; 2313,600;47677,600;94,85319
1152,90;45837,500; 2332,800;47946,200;95,37702
1157,29;46466,100; 2292,900;48421,700;95,76057
1161,68;46679,400; 2313,100;48619,300;95,81071
1166,06;46691,300; 2309,600;48732,900;95,60221
1170,44;46407,500; 2366,100;48547,000;95,36713
1174,81;45610,900; 2318,600;47745,300;95,30144
1179,18;45384,400; 2329,700;47463,900;95,39263
1183,54;45074,400; 2345,800;47060,900;95,55743
