129-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;17870,100; 2348,500;19637,500;89,77732
1019,01;18969,500; 2352,700;20829,700;89,93235
1023,54;19999,200; 2377,000;21962,200;89,97713
1028,07;20948,800; 2352,700;23028,700;89,94051
1032,59;21984,100; 2345,300;24165,800;90,00160
1037,10;23305,800; 2317,300;25614,800;90,08907
1041,62;24364,700; 2350,000;26799,400;90,04188
1046,12;25506,400; 2427,500;28080,800;89,96464
1050,62;26263,500; 2344,700;28925,600;89,98491
1055,12;27084,000; 2300,600;29808,600;90,09525
1059,62;27920,500; 2304,000;30750,500;90,05150
1064,10;28982,100; 2352,400;31934,300;90,02025
1068,59;29863,200; 2395,400;32879,900;90,10415
1073,07;30917,200; 2329,700;33988,100;90,29989
1077,54;31748,700; 2333,200;34909,400;90,29752
1082,01;32788,300; 2383,100;36084,400;90,21967
1086,48;33628,700; 2367,300;37013,200;90,23117
1090,94;34215,800; 2303,100;37697,100;90,16415
1095,39;35338,600; 2435,000;38991,300;90,00802
1099,85;36353,200; 2333,800;40179,000;89,89092
1104,29;37123,200; 2343,900;41108,400;89,71946
1108,73;37870,500; 2303,100;42037,300;89,51332
1113,17;38467,100; 2407,700;42761,500;89,35813
1117,61;39004,200; 2355,500;43454,900;89,17089
1122,03;39492,500; 2409,900;44116,600;88,91281
1126,46;39891,300; 2310,600;44683,800;88,68979
1130,88;40375,400; 2301,200;45196,100;88,76160
1135,29;41081,400; 2423,100;45857,400;89,00408
1139,70;41736,100; 2288,100;46461,700;89,30221
1144,11;42338,700; 2306,000;47061,800;89,44695
1148,51;42917,900; 2313,600;47677,600;89,50776
1152,90;43072,100; 2332,800;47946,200;89,31432
1157,29;43361,100; 2292,900;48421,700;89,02941
1161,68;43443,400; 2313,100;48619,300;88,82245
1166,06;43542,600; 2309,600;48732,900;88,81962
1170,44;43412,700; 2366,100;48547,000;88,88220
1174,81;42698,600; 2318,600;47745,300;88,89045
1179,18;42501,900; 2329,700;47463,900;89,00612
1183,54;42179,700; 2345,800;47060,900;89,08378
