223
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;13516,000; 2348,500;19637,500;64,59309
1019,01;14169,000; 2352,700;20829,700;63,95140
1023,54;14799,800; 2377,000;21962,200;63,42953
1028,07;15346,300; 2352,700;23028,700;62,84388
1032,59;15940,600; 2345,300;24165,800;62,30517
1037,10;16720,300; 2317,300;25614,800;61,82208
1041,62;17342,500; 2350,000;26799,400;61,32052
1046,12;18051,200; 2427,500;28080,800;60,90328
1050,62;18443,700; 2344,700;28925,600;60,56605
1055,12;18868,200; 2300,600;29808,600;60,22830
1059,62;19345,000; 2304,000;30750,500;59,90544
1064,10;19986,500; 2352,400;31934,300;59,61111
1068,59;20465,800; 2395,400;32879,900;59,27734
1073,07;21006,200; 2329,700;33988,100;58,99382
1077,54;21430,500; 2333,200;34909,400;58,62347
1082,01;22001,600; 2383,100;36084,400;58,21289
1086,48;22394,900; 2367,300;37013,200;57,80655
1090,94;22615,300; 2303,100;37697,100;57,38882
1095,39;23248,000; 2435,000;38991,300;56,93410
1099,85;23704,500; 2333,800;40179,000;56,46872
1104,29;24062,600; 2343,900;41108,400;56,02729
1108,73;24394,400; 2303,100;42037,300;55,59770
1113,17;24682,900; 2407,700;42761,500;55,19976
1117,61;24892,600; 2355,500;43454,900;54,83559
1122,03;25114,500; 2409,900;44116,600;54,43874
1126,46;25223,500; 2310,600;44683,800;54,07404
1130,88;25312,000; 2301,200;45196,100;53,64461
1135,29;25493,100; 2423,100;45857,400;53,11470
1139,70;25455,200; 2288,100;46461,700;52,44558
1144,11;25417,000; 2306,000;47061,800;51,63800
1148,51;25327,800; 2313,600;47677,600;50,73230
1152,90;25059,500; 2332,800;47946,200;49,82461
1157,29;24797,400; 2292,900;48421,700;48,78622
1161,68;24330,000; 2313,100;48619,300;47,54633
1166,06;23804,400; 2309,600;48732,900;46,30175
1170,44;23356,000; 2366,100;48547,000;45,45147
1174,81;22609,000; 2318,600;47745,300;44,66624
1179,18;22001,200; 2329,700;47463,900;43,58447
1183,54;21219,100; 2345,800;47060,900;42,20789
