abswhite-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;14158,600; 2348,500;19637,500;68,30991
1019,01;14871,000; 2352,700;20829,700;67,75072
1023,54;15577,000; 2377,000;21962,200;67,39783
1028,07;16208,900; 2352,700;23028,700;67,01586
1032,59;16889,600; 2345,300;24165,800;66,65429
1037,10;17785,900; 2317,300;25614,800;66,39597
1041,62;18486,200; 2350,000;26799,400;65,99835
1046,12;19255,700; 2427,500;28080,800;65,59858
1050,62;19689,400; 2344,700;28925,600;65,25249
1055,12;20164,300; 2300,600;29808,600;64,94002
1059,62;20686,000; 2304,000;30750,500;64,61955
1064,10;21387,800; 2352,400;31934,300;64,34813
1068,59;21932,900; 2395,400;32879,900;64,08995
1073,07;22541,000; 2329,700;33988,100;63,84182
1077,54;23014,800; 2333,200;34909,400;63,48684
1082,01;23635,200; 2383,100;36084,400;63,06018
1086,48;24066,700; 2367,300;37013,200;62,63194
1090,94;24303,100; 2303,100;37697,100;62,15743
1095,39;24973,900; 2435,000;38991,300;61,65531
1099,85;25452,000; 2333,800;40179,000;61,08621
1104,29;25788,200; 2343,900;41108,400;60,47879
1108,73;26057,100; 2303,100;42037,300;59,78225
1113,17;26209,800; 2407,700;42761,500;58,98354
1117,61;26229,400; 2355,500;43454,900;58,08820
1122,03;26198,000; 2409,900;44116,600;57,03664
1126,46;26004,300; 2310,600;44683,800;55,91671
1130,88;25739,000; 2301,200;45196,100;54,64006
1135,29;25602,900; 2423,100;45857,400;53,36750
1139,70;25423,700; 2288,100;46461,700;52,37427
1144,11;25522,300; 2306,000;47061,800;51,87328
1148,51;25845,300; 2313,600;47677,600;51,87307
1152,90;26125,900; 2332,800;47946,200;52,16252
1157,29;26437,700; 2292,900;48421,700;52,34214
1161,68;26470,200; 2313,100;48619,300;52,16818
1166,06;26312,400; 2309,600;48732,900;51,70421
1170,44;25983,000; 2366,100;48547,000;51,13997
1174,81;25293,800; 2318,600;47745,300;50,57642
1179,18;24926,900; 2329,700;47463,900;50,06669
1183,54;24469,700; 2345,800;47060,900;49,47747
