blue3mtapeholder-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9005,900; 2348,500;19637,500;38,50656
1019,01; 9399,800; 2352,700;20829,700;38,13985
1023,54; 9793,700; 2377,000;21962,200;37,86890
1028,07;10117,400; 2352,700;23028,700;37,55417
1032,59;10479,000; 2345,300;24165,800;37,27550
1037,10;10945,200; 2317,300;25614,800;37,03359
1041,62;11329,900; 2350,000;26799,400;36,72851
1046,12;11775,300; 2427,500;28080,800;36,43898
1050,62;11950,400; 2344,700;28925,600;36,13760
1055,12;12158,600; 2300,600;29808,600;35,83685
1059,62;12403,900; 2304,000;30750,500;35,50490
1064,10;12768,100; 2352,400;31934,300;35,20971
1068,59;13017,300; 2395,400;32879,900;34,84361
1073,07;13262,000; 2329,700;33988,100;34,53207
1077,54;13463,000; 2333,200;34909,400;34,16543
1082,01;13763,800; 2383,100;36084,400;33,76932
1086,48;13973,600; 2367,300;37013,200;33,49978
1090,94;14061,400; 2303,100;37697,100;33,22117
1095,39;14484,000; 2435,000;38991,300;32,96012
1099,85;14705,600; 2333,800;40179,000;32,69054
1104,29;14911,600; 2343,900;41108,400;32,42064
1108,73;15052,800; 2303,100;42037,300;32,08747
1113,17;15190,200; 2407,700;42761,500;31,67608
1117,61;15176,500; 2355,500;43454,900;31,19510
1122,03;15155,600; 2409,900;44116,600;30,56032
1126,46;14953,700; 2310,600;44683,800;29,83749
1130,88;14740,200; 2301,200;45196,100;28,99879
1135,29;14597,500; 2423,100;45857,400;28,02946
1139,70;14316,300; 2288,100;46461,700;27,22939
1144,11;14330,100; 2306,000;47061,800;26,86602
1148,51;14603,800; 2313,600;47677,600;27,09241
1152,90;14970,700; 2332,800;47946,200;27,70655
1157,29;15347,400; 2292,900;48421,700;28,30011
1161,68;15539,900; 2313,100;48619,300;28,56378
1166,06;15589,100; 2309,600;48732,900;28,60525
1170,44;15528,900; 2366,100;48547,000;28,50269
1174,81;15176,300; 2318,600;47745,300;28,30428
1179,18;15013,300; 2329,700;47463,900;28,10197
1183,54;14776,200; 2345,800;47060,900;27,79911
