grayABS
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;11243,600; 2348,500;19637,500;51,44948
1019,01;11806,500; 2352,700;20829,700;51,16523
1023,54;12352,100; 2377,000;21962,200;50,93183
1028,07;12828,200; 2352,700;23028,700;50,66502
1032,59;13356,800; 2345,300;24165,800;50,46401
1037,10;14026,700; 2317,300;25614,800;50,26033
1041,62;14577,200; 2350,000;26799,400;50,01023
1046,12;15181,900; 2427,500;28080,800;49,71836
1050,62;15503,400; 2344,700;28925,600;49,50434
1055,12;15854,800; 2300,600;29808,600;49,27367
1059,62;16260,700; 2304,000;30750,500;49,06298
1064,10;16818,100; 2352,400;31934,300;48,90051
1068,59;17236,800; 2395,400;32879,900;48,68507
1073,07;17701,700; 2329,700;33988,100;48,55583
1077,54;18079,900; 2333,200;34909,400;48,33805
1082,01;18580,800; 2383,100;36084,400;48,06254
1086,48;18928,300; 2367,300;37013,200;47,80075
1090,94;19118,000; 2303,100;37697,100;47,50777
1095,39;19684,600; 2435,000;38991,300;47,18639
1099,85;20078,800; 2333,800;40179,000;46,88838
1104,29;20387,600; 2343,900;41108,400;46,54697
1108,73;20652,200; 2303,100;42037,300;46,17961
1113,17;20894,100; 2407,700;42761,500;45,81080
1117,61;21014,000; 2355,500;43454,900;45,39847
1122,03;21135,100; 2409,900;44116,600;44,89734
1126,46;21117,800; 2310,600;44683,800;44,38466
1130,88;21079,900; 2301,200;45196,100;43,77840
1135,29;21146,400; 2423,100;45857,400;43,10718
1139,70;21102,000; 2288,100;46461,700;42,59082
1144,11;21216,300; 2306,000;47061,800;42,25218
1148,51;21455,900; 2313,600;47677,600;42,19712
1152,90;21623,600; 2332,800;47946,200;42,29196
1157,29;21816,000; 2292,900;48421,700;42,32302
1161,68;21840,300; 2313,100;48619,300;42,16973
1166,06;21752,200; 2309,600;48732,900;41,88112
1170,44;21548,200; 2366,100;48547,000;41,53687
1174,81;21030,800; 2318,600;47745,300;41,19207
1179,18;20793,400; 2329,700;47463,900;40,90845
1183,54;20496,800; 2345,800;47060,900;40,59255
