kl602
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;15249,900; 2348,500;19637,500;74,62201
1019,01;16066,300; 2352,700;20829,700;74,21984
1023,54;16838,100; 2377,000;21962,200;73,83688
1028,07;17555,000; 2352,700;23028,700;73,52631
1032,59;18326,100; 2345,300;24165,800;73,23755
1037,10;19313,200; 2317,300;25614,800;72,95160
1041,62;20103,400; 2350,000;26799,400;72,61282
1046,12;20967,600; 2427,500;28080,800;72,27179
1050,62;21479,500; 2344,700;28925,600;71,98703
1055,12;22026,700; 2300,600;29808,600;71,71041
1059,62;22625,000; 2304,000;30750,500;71,43585
1064,10;23423,200; 2352,400;31934,300;71,22869
1068,59;24038,700; 2395,400;32879,900;70,99772
1073,07;24751,100; 2329,700;33988,100;70,82291
1077,54;25314,400; 2333,200;34909,400;70,54598
1082,01;26038,800; 2383,100;36084,400;70,19225
1086,48;26572,800; 2367,300;37013,200;69,86541
1090,94;26888,300; 2303,100;37697,100;69,46149
1095,39;27669,700; 2435,000;38991,300;69,02969
1099,85;28282,200; 2333,800;40179,000;68,56457
1104,29;28715,800; 2343,900;41108,400;68,03106
1108,73;29070,700; 2303,100;42037,300;67,36665
1113,17;29279,600; 2407,700;42761,500;66,59075
1117,61;29329,100; 2355,500;43454,900;65,63016
1122,03;29271,500; 2409,900;44116,600;64,40596
1126,46;28994,900; 2310,600;44683,800;62,97447
1130,88;28585,400; 2301,200;45196,100;61,27582
1135,29;28205,700; 2423,100;45857,400;59,36000
1139,70;27801,200; 2288,100;46461,700;57,75644
1144,11;27895,900; 2306,000;47061,800;57,17672
1148,51;28596,100; 2313,600;47677,600;57,93691
1152,90;29470,100; 2332,800;47946,200;59,49414
1157,29;30438,000; 2292,900;48421,700;61,01416
1161,68;30956,700; 2313,100;48619,300;61,85694
1166,06;31148,600; 2309,600;48732,900;62,12182
1170,44;31054,100; 2366,100;48547,000;62,12092
1174,81;30450,800; 2318,600;47745,300;61,92878
1179,18;30163,500; 2329,700;47463,900;61,66898
1183,54;29734,700; 2345,800;47060,900;61,25202
