kl911
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5735,000; 2348,500;19637,500;19,58760
1019,01; 5923,200; 2352,700;20829,700;19,32402
1023,54; 6118,200; 2377,000;21962,200;19,10218
1028,07; 6252,900; 2352,700;23028,700;18,86342
1032,59; 6419,600; 2345,300;24165,800;18,67189
1037,10; 6624,800; 2317,300;25614,800;18,48911
1041,62; 6809,900; 2350,000;26799,400;18,24135
1046,12; 7061,600; 2427,500;28080,800;18,06434
1050,62; 7092,000; 2344,700;28925,600;17,85982
1055,12; 7157,700; 2300,600;29808,600;17,65705
1059,62; 7260,800; 2304,000;30750,500;17,42499
1064,10; 7448,600; 2352,400;31934,300;17,22743
1068,59; 7554,700; 2395,400;32879,900;16,92434
1073,07; 7596,800; 2329,700;33988,100;16,63729
1077,54; 7652,300; 2333,200;34909,400;16,32818
1082,01; 7791,700; 2383,100;36084,400;16,04864
1086,48; 7879,100; 2367,300;37013,200;15,90895
1090,94; 7910,400; 2303,100;37697,100;15,84252
1095,39; 8222,400; 2435,000;38991,300;15,83147
1099,85; 8323,400; 2333,800;40179,000;15,82658
1104,29; 8482,200; 2343,900;41108,400;15,83485
1108,73; 8600,400; 2303,100;42037,300;15,84856
1113,17; 8812,500; 2407,700;42761,500;15,87162
1117,61; 8889,100; 2355,500;43454,900;15,89707
1122,03; 9019,400; 2409,900;44116,600;15,84757
1126,46; 9010,300; 2310,600;44683,800;15,81117
1130,88; 9059,600; 2301,200;45196,100;15,75572
1135,29; 9206,800; 2423,100;45857,400;15,61830
1139,70; 9125,400; 2288,100;46461,700;15,47825
1144,11; 9142,200; 2306,000;47061,800;15,27444
1148,51; 9118,800; 2313,600;47677,600;15,00132
1152,90; 9068,800; 2332,800;47946,200;14,76759
1157,29; 8984,600; 2292,900;48421,700;14,50656
1161,68; 8871,200; 2313,100;48619,300;14,16247
1166,06; 8727,800; 2309,600;48732,900;13,82539
1170,44; 8645,400; 2366,100;48547,000;13,59718
1174,81; 8388,100; 2318,600;47745,300;13,36109
1179,18; 8225,600; 2329,700;47463,900;13,06304
