lego
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;12148,400; 2348,500;19637,500;56,68286
1019,01;12729,800; 2352,700;20829,700;56,16226
1023,54;13313,400; 2377,000;21962,200;55,84012
1028,07;13825,000; 2352,700;23028,700;55,48607
1032,59;14381,500; 2345,300;24165,800;55,16006
1037,10;15094,600; 2317,300;25614,800;54,84408
1041,62;15675,400; 2350,000;26799,400;54,50195
1046,12;16300,600; 2427,500;28080,800;54,07920
1050,62;16609,000; 2344,700;28925,600;53,66372
1055,12;16940,300; 2300,600;29808,600;53,21979
1059,62;17295,500; 2304,000;30750,500;52,70068
1064,10;17783,200; 2352,400;31934,300;52,16298
1068,59;18100,000; 2395,400;32879,900;51,51667
1073,07;18429,900; 2329,700;33988,100;50,85601
1077,54;18647,700; 2333,200;34909,400;50,08104
1082,01;18978,200; 2383,100;36084,400;49,24172
1086,48;19174,000; 2367,300;37013,200;48,50992
1090,94;19225,700; 2303,100;37697,100;47,81206
1095,39;19669,600; 2435,000;38991,300;47,14536
1099,85;19969,200; 2333,800;40179,000;46,59878
1104,29;20242,000; 2343,900;41108,400;46,17137
1108,73;20531,200; 2303,100;42037,300;45,87509
1113,17;20863,000; 2407,700;42761,500;45,73374
1117,61;21112,100; 2355,500;43454,900;45,63716
1122,03;21362,900; 2409,900;44116,600;45,44354
1126,46;21453,400; 2310,600;44683,800;45,17667
1130,88;21460,700; 2301,200;45196,100;44,66615
1135,29;21546,800; 2423,100;45857,400;44,02903
1139,70;21499,800; 2288,100;46461,700;43,49136
1144,11;21667,900; 2306,000;47061,800;43,26121
1148,51;22009,400; 2313,600;47677,600;43,41725
1152,90;22308,100; 2332,800;47946,200;43,79261
1157,29;22622,100; 2292,900;48421,700;44,07052
1161,68;22705,000; 2313,100;48619,300;44,03708
1166,06;22631,700; 2309,600;48732,900;43,77565
1170,44;22404,400; 2366,100;48547,000;43,39088
1174,81;21852,700; 2318,600;47745,300;43,00136
1179,18;21574,400; 2329,700;47463,900;42,63884
1183,54;21202,500; 2345,800;47060,900;42,17077
