psgreen
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6517,300; 2348,500;19637,500;24,11244
1019,01; 6803,400; 2352,700;20829,700;24,08778
1023,54; 7098,400; 2377,000;21962,200;24,10698
1028,07; 7325,500; 2352,700;23028,700;24,05107
1032,59; 7596,600; 2345,300;24165,800;24,06590
1037,10; 7933,200; 2317,300;25614,800;24,10516
1041,62; 8233,400; 2350,000;26799,400;24,06358
1046,12; 8611,700; 2427,500;28080,800;24,10684
1050,62; 8755,300; 2344,700;28925,600;24,11732
1055,12; 8941,400; 2300,600;29808,600;24,14134
1059,62; 9179,900; 2304,000;30750,500;24,17134
1064,10; 9513,400; 2352,400;31934,300;24,20737
1068,59; 9768,200; 2395,400;32879,900;24,18541
1073,07; 9984,400; 2329,700;33988,100;24,17905
1077,54;10189,200; 2333,200;34909,400;24,11577
1082,01;10453,100; 2383,100;36084,400;23,94566
1086,48;10626,200; 2367,300;37013,200;23,83803
1090,94;10660,100; 2303,100;37697,100;23,61135
1095,39;10969,400; 2435,000;38991,300;23,34591
1099,85;11058,700; 2333,800;40179,000;23,05418
1104,29;11157,100; 2343,900;41108,400;22,73523
1108,73;11184,700; 2303,100;42037,300;22,35253
1113,17;11301,200; 2407,700;42761,500;22,03882
1117,61;11307,400; 2355,500;43454,900;21,78110
1122,03;11432,300; 2409,900;44116,600;21,63298
1126,46;11491,800; 2310,600;44683,800;21,66747
1130,88;11650,200; 2301,200;45196,100;21,79513
1135,29;11953,200; 2423,100;45857,400;21,94141
1139,70;12066,300; 2288,100;46461,700;22,13585
1144,11;12336,100; 2306,000;47061,800;22,41073
1148,51;12657,700; 2313,600;47677,600;22,80244
1152,90;12944,400; 2332,800;47946,200;23,26422
1157,29;13214,200; 2292,900;48421,700;23,67566
1161,68;13422,100; 2313,100;48619,300;23,99031
1166,06;13541,800; 2309,600;48732,900;24,19518
1170,44;13611,300; 2366,100;48547,000;24,35033
1174,81;13416,600; 2318,600;47745,300;24,43057
1179,18;13401,300; 2329,700;47463,900;24,53040
