white bed pooh
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 3295,400; 2348,500;19637,500; 5,47689
1019,01; 3348,600; 2352,700;20829,700; 5,38994
1023,54; 3429,800; 2377,000;21962,200; 5,37549
1028,07; 3446,600; 2352,700;23028,700; 5,29068
1032,59; 3489,200; 2345,300;24165,800; 5,24232
1037,10; 3526,100; 2317,300;25614,800; 5,18854
1041,62; 3598,500; 2350,000;26799,400; 5,10646
1046,12; 3731,200; 2427,500;28080,800; 5,08200
1050,62; 3689,200; 2344,700;28925,600; 5,05814
1055,12; 3689,300; 2300,600;29808,600; 5,04835
1059,62; 3726,600; 2304,000;30750,500; 5,00097
1064,10; 3829,800; 2352,400;31934,300; 4,99427
1068,59; 3912,400; 2395,400;32879,900; 4,97630
1073,07; 3894,900; 2329,700;33988,100; 4,94403
1077,54; 3944,500; 2333,200;34909,400; 4,94625
1082,01; 4026,000; 2383,100;36084,400; 4,87489
1086,48; 4069,400; 2367,300;37013,200; 4,91285
1090,94; 4031,100; 2303,100;37697,100; 4,88218
1095,39; 4213,300; 2435,000;38991,300; 4,86455
1099,85; 4167,000; 2333,800;40179,000; 4,84394
1104,29; 4212,000; 2343,900;41108,400; 4,81910
1108,73; 4213,500; 2303,100;42037,300; 4,80795
1113,17; 4346,700; 2407,700;42761,500; 4,80500
1117,61; 4330,700; 2355,500;43454,900; 4,80591
1122,03; 4405,900; 2409,900;44116,600; 4,78580
1126,46; 4341,200; 2310,600;44683,800; 4,79218
1130,88; 4347,800; 2301,200;45196,100; 4,77120
1135,29; 4476,900; 2423,100;45857,400; 4,72852
1139,70; 4361,700; 2288,100;46461,700; 4,69421
1144,11; 4371,800; 2306,000;47061,800; 4,61571
1148,51; 4358,700; 2313,600;47677,600; 4,50820
1152,90; 4348,000; 2332,800;47946,200; 4,41800
1157,29; 4279,200; 2292,900;48421,700; 4,30599
1161,68; 4235,000; 2313,100;48619,300; 4,15042
1166,06; 4173,700; 2309,600;48732,900; 4,01544
1170,44; 4186,500; 2366,100;48547,000; 3,94189
