whitepetbottle
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;11131,000; 2348,500;19637,500;50,79820
1019,01;11633,700; 2352,700;20829,700;50,23002
1023,54;12127,200; 2377,000;21962,200;49,78351
1028,07;12534,000; 2352,700;23028,700;49,24212
1032,59;13001,500; 2345,300;24165,800;48,83573
1037,10;13603,400; 2317,300;25614,800;48,44340
1041,62;14071,400; 2350,000;26799,400;47,94146
1046,12;14612,600; 2427,500;28080,800;47,49915
1050,62;14853,300; 2344,700;28925,600;47,05860
1055,12;15126,300; 2300,600;29808,600;46,62535
1059,62;15453,500; 2304,000;30750,500;46,22537
1064,10;15914,400; 2352,400;31934,300;45,84560
1068,59;16255,500; 2395,400;32879,900;45,46606
1073,07;16603,700; 2329,700;33988,100;45,08756
1077,54;16887,300; 2333,200;34909,400;44,67710
1082,01;17278,900; 2383,100;36084,400;44,19948
1086,48;17527,300; 2367,300;37013,200;43,75698
1090,94;17626,200; 2303,100;37697,100;43,29293
1095,39;18065,100; 2435,000;38991,300;42,75624
1099,85;18300,000; 2333,800;40179,000;42,18818
1104,29;18467,000; 2343,900;41108,400;41,59244
1108,73;18568,900; 2303,100;42037,300;40,93652
1113,17;18658,900; 2407,700;42761,500;40,27180
1117,61;18621,700; 2355,500;43454,900;39,57771
1122,03;18598,700; 2409,900;44116,600;38,81583
1126,46;18497,400; 2310,600;44683,800;38,20056
1130,88;18551,800; 2301,200;45196,100;37,88469
1135,29;18875,200; 2423,100;45857,400;37,87813
1139,70;19056,000; 2288,100;46461,700;37,95910
1144,11;19223,300; 2306,000;47061,800;37,79912
1148,51;19293,500; 2313,600;47677,600;37,43034
1152,90;19217,700; 2332,800;47946,200;37,01741
1157,29;19172,500; 2292,900;48421,700;36,59232
1161,68;19041,300; 2313,100;48619,300;36,12518
1166,06;18900,800; 2309,600;48732,900;35,73895
1170,44;18699,800; 2366,100;48547,000;35,36895
1174,81;18251,100; 2318,600;47745,300;35,07299
1179,18;18082,200; 2329,700;47463,900;34,90147
1183,54;17906,200; 2345,800;47060,900;34,79898
