kl204-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8537,700; 2348,500;19637,500;35,79848
1019,01; 8996,500; 2352,700;20829,700;35,95714
1023,54; 9449,700; 2377,000;21962,200;36,11247
1028,07; 9849,100; 2352,700;23028,700;36,25653
1032,59;10294,600; 2345,300;24165,800;36,43042
1037,10;10850,000; 2317,300;25614,800;36,62496
1041,62;11341,100; 2350,000;26799,400;36,77432
1046,12;11928,400; 2427,500;28080,800;37,03578
1050,62;12257,100; 2344,700;28925,600;37,29144
1055,12;12630,600; 2300,600;29808,600;37,55271
1059,62;13062,200; 2304,000;30750,500;37,81906
1064,10;13643,600; 2352,400;31934,300;38,16929
1068,59;14113,100; 2395,400;32879,900;38,43822
1073,07;14598,400; 2329,700;33988,100;38,75338
1077,54;15036,200; 2333,200;34909,400;38,99473
1082,01;15590,800; 2383,100;36084,400;39,19048
1086,48;16030,900; 2367,300;37013,200;39,43786
1090,94;16331,300; 2303,100;37697,100;39,63440
1095,39;16989,800; 2435,000;38991,300;39,81475
1099,85;17470,800; 2333,800;40179,000;39,99715
1104,29;17926,000; 2343,900;41108,400;40,19683
1108,73;18354,700; 2303,100;42037,300;40,39744
1113,17;18799,400; 2407,700;42761,500;40,61997
1117,61;19152,800; 2355,500;43454,900;40,86994
1122,03;19557,300; 2409,900;44116,600;41,11426
1126,46;19844,800; 2310,600;44683,800;41,38040
1130,88;20136,100; 2301,200;45196,100;41,57814
1135,29;20533,900; 2423,100;45857,400;41,69700
1139,70;20718,400; 2288,100;46461,700;41,72243
1144,11;20932,800; 2306,000;47061,800;41,61874
1148,51;21110,900; 2313,600;47677,600;41,43660
1152,90;21134,500; 2332,800;47946,200;41,21969
1157,29;21162,600; 2292,900;48421,700;40,90655
1161,68;21001,900; 2313,100;48619,300;40,35917
1166,06;20767,700; 2309,600;48732,900;39,76042
1170,44;20608,800; 2366,100;48547,000;39,50269
1174,81;20152,200; 2318,600;47745,300;39,25797
1179,18;19788,100; 2329,700;47463,900;38,68109
1183,54;19226,900; 2345,800;47060,900;37,75257
