kl601
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;15891,700; 2348,500;19637,500;78,33420
1019,01;16752,900; 2352,700;20829,700;77,93581
1023,54;17572,200; 2377,000;21962,200;77,58512
1028,07;18331,500; 2352,700;23028,700;77,28187
1032,59;19144,400; 2345,300;24165,800;76,98770
1037,10;20199,400; 2317,300;25614,800;76,75545
1041,62;21025,600; 2350,000;26799,400;76,38470
1046,12;21940,500; 2427,500;28080,800;76,06429
1050,62;22489,800; 2344,700;28925,600;75,78788
1055,12;23067,000; 2300,600;29808,600;75,49222
1059,62;23712,100; 2304,000;30750,500;75,25741
1064,10;24554,000; 2352,400;31934,300;75,05130
1068,59;25206,200; 2395,400;32879,900;74,82754
1073,07;25967,400; 2329,700;33988,100;74,66486
1077,54;26569,400; 2333,200;34909,400;74,39849
1082,01;27345,300; 2383,100;36084,400;74,06895
1086,48;27910,400; 2367,300;37013,200;73,72618
1090,94;28272,500; 2303,100;37697,100;73,37232
1095,39;29097,800; 2435,000;38991,300;72,93627
1099,85;29766,600; 2333,800;40179,000;72,48687
1104,29;30237,000; 2343,900;41108,400;71,95527
1108,73;30659,100; 2303,100;42037,300;71,36422
1113,17;30905,300; 2407,700;42761,500;70,61937
1117,61;31001,500; 2355,500;43454,900;69,69931
1122,03;30997,100; 2409,900;44116,600;68,54342
1126,46;30785,400; 2310,600;44683,800;67,20002
1130,88;30436,100; 2301,200;45196,100;65,59031
1135,29;30127,400; 2423,100;45857,400;63,78438
1139,70;29785,100; 2288,100;46461,700;62,24759
1144,11;29897,500; 2306,000;47061,800;61,64899
1148,51;30610,600; 2313,600;47677,600;62,37766
1152,90;31465,600; 2332,800;47946,200;63,86895
1157,29;32416,800; 2292,900;48421,700;65,30389
1161,68;32924,600; 2313,100;48619,300;66,10670
1166,06;33101,200; 2309,600;48732,900;66,32790
1170,44;32984,700; 2366,100;48547,000;66,30144
1174,81;32349,000; 2318,600;47745,300;66,10738
1179,18;32060,500; 2329,700;47463,900;65,87200
1183,54;31617,800; 2345,800;47060,900;65,46334
