kl903
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9734,900; 2348,500;19637,500;42,72312
1019,01;10170,600; 2352,700;20829,700;42,31152
1023,54;10597,600; 2377,000;21962,200;41,97353
1028,07;10948,900; 2352,700;23028,700;41,57574
1032,59;11360,500; 2345,300;24165,800;41,31528
1037,10;11877,400; 2317,300;25614,800;41,03487
1041,62;12283,000; 2350,000;26799,400;40,62676
1046,12;12757,900; 2427,500;28080,800;40,26928
1050,62;12972,700; 2344,700;28925,600;39,98360
1055,12;13219,200; 2300,600;29808,600;39,69245
1059,62;13514,100; 2304,000;30750,500;39,40766
1064,10;13938,900; 2352,400;31934,300;39,16753
1068,59;14256,300; 2395,400;32879,900;38,90797
1073,07;14576,000; 2329,700;33988,100;38,68262
1077,54;14844,000; 2333,200;34909,400;38,40472
1082,01;15216,500; 2383,100;36084,400;38,07984
1086,48;15457,500; 2367,300;37013,200;37,78283
1090,94;15563,100; 2303,100;37697,100;37,46398
1095,39;16005,100; 2435,000;38991,300;37,12110
1099,85;16246,400; 2333,800;40179,000;36,76186
1104,29;16453,000; 2343,900;41108,400;36,39696
1108,73;16602,500; 2303,100;42037,300;35,98764
1113,17;16741,300; 2407,700;42761,500;35,51983
1117,61;16743,900; 2355,500;43454,900;35,00878
1122,03;16745,700; 2409,900;44116,600;34,37289
1126,46;16588,600; 2310,600;44683,800;33,69583
1130,88;16412,500; 2301,200;45196,100;32,89738
1135,29;16322,800; 2423,100;45857,400;32,00167
1139,70;16090,300; 2288,100;46461,700;31,24536
1144,11;16100,000; 2306,000;47061,800;30,82059
1148,51;16356,700; 2313,600;47677,600;30,95649
1152,90;16665,000; 2332,800;47946,200;31,42103
1157,29;16971,800; 2292,900;48421,700;31,82155
1161,68;17114,000; 2313,100;48619,300;31,96311
1166,06;17121,900; 2309,600;48732,900;31,90704
1170,44;17027,100; 2366,100;48547,000;31,74689
1174,81;16642,500; 2318,600;47745,300;31,53190
1179,18;16472,200; 2329,700;47463,900;31,33433
1183,54;16226,300; 2345,800;47060,900;31,04209
