pstranspartent
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;25562,700; 2348,500;19637,500;134,27150
1019,01;27133,200; 2352,700;20829,700;134,11539
1023,54;28709,300; 2377,000;21962,200;134,44999
1028,07;30143,300; 2352,700;23028,700;134,40994
1032,59;31671,900; 2345,300;24165,800;134,39930
1037,10;33641,600; 2317,300;25614,800;134,45348
1041,62;35217,500; 2350,000;26799,400;134,43070
1046,12;36912,400; 2427,500;28080,800;134,42676
1050,62;38108,200; 2344,700;28925,600;134,54586
1055,12;39364,000; 2300,600;29808,600;134,73680
1059,62;40694,400; 2304,000;30750,500;134,95650
1064,10;42310,300; 2352,400;31934,300;135,07550
1068,59;43606,900; 2395,400;32879,900;135,18837
1073,07;45187,200; 2329,700;33988,100;135,37481
1077,54;46476,700; 2333,200;34909,400;135,50844
1082,01;48032,300; 2383,100;36084,400;135,45234
1086,48;49271,500; 2367,300;37013,200;135,38168
1090,94;50209,300; 2303,100;37697,100;135,35119
1095,39;51844,300; 2435,000;38991,300;135,15947
1099,85;53363,000; 2333,800;40179,000;134,83665
1104,29;54441,000; 2343,900;41108,400;134,39384
1108,73;55549,100; 2303,100;42037,300;134,00547
1113,17;56279,500; 2407,700;42761,500;133,49870
1117,61;56979,800; 2355,500;43454,900;132,90778
1122,03;57544,900; 2409,900;44116,600;132,19699
1126,46;57925,600; 2310,600;44683,800;131,25041
1130,88;58017,900; 2301,200;45196,100;129,89120
1135,29;58180,700; 2423,100;45857,400;128,37228
1139,70;58317,600; 2288,100;46461,700;126,83933
1144,11;58809,500; 2306,000;47061,800;126,24844
1148,51;59899,600; 2313,600;47677,600;126,94207
1152,90;60941,500; 2332,800;47946,200;128,49009
1157,29;62215,200; 2292,900;48421,700;129,90214
1161,68;62842,900; 2313,100;48619,300;130,71641
1166,06;63116,100; 2309,600;48732,900;130,98272
1170,44;62884,800; 2366,100;48547,000;131,04703
1174,81;61890,000; 2318,600;47745,300;131,13741
1179,18;61511,400; 2329,700;47463,900;131,12385
1183,54;60908,500; 2345,800;47060,900;130,96851
