pswhite
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;13074,300; 2348,500;19637,500;62,03829
1019,01;13800,800; 2352,700;20829,700;61,95865
1023,54;14494,000; 2377,000;21962,200;61,86815
1028,07;15126,400; 2352,700;23028,700;61,78033
1032,59;15816,900; 2345,300;24165,800;61,73827
1037,10;16697,500; 2317,300;25614,800;61,72422
1041,62;17419,600; 2350,000;26799,400;61,63587
1046,12;18219,300; 2427,500;28080,800;61,55855
1050,62;18698,800; 2344,700;28925,600;61,52576
1055,12;19215,200; 2300,600;29808,600;61,48975
1059,62;19789,700; 2304,000;30750,500;61,46872
1064,10;20549,400; 2352,400;31934,300;61,51397
1068,59;21142,500; 2395,400;32879,900;61,49715
1073,07;21821,300; 2329,700;33988,100;61,56849
1077,54;22375,400; 2333,200;34909,400;61,52406
1082,01;23071,500; 2383,100;36084,400;61,38754
1086,48;23585,900; 2367,300;37013,200;61,24419
1090,94;23924,100; 2303,100;37697,100;61,08662
1095,39;24687,200; 2435,000;38991,300;60,87104
1099,85;25258,800; 2333,800;40179,000;60,57571
1104,29;25703,500; 2343,900;41108,400;60,26029
1108,73;26073,500; 2303,100;42037,300;59,82353
1113,17;26330,100; 2407,700;42761,500;59,28165
1117,61;26433,400; 2355,500;43454,900;58,58455
1122,03;26464,100; 2409,900;44116,600;57,67467
1126,46;26286,900; 2310,600;44683,800;56,58364
1130,88;25999,100; 2301,200;45196,100;55,24643
1135,29;25775,100; 2423,100;45857,400;53,76396
1139,70;25496,800; 2288,100;46461,700;52,53975
1144,11;25623,800; 2306,000;47061,800;52,10006
1148,51;26229,700; 2313,600;47677,600;52,72044
1152,90;26951,200; 2332,800;47946,200;53,97186
1157,29;27737,600; 2292,900;48421,700;55,16012
1161,68;28164,000; 2313,100;48619,300;55,82600
1166,06;28323,700; 2309,600;48732,900;56,03673
1170,44;28239,400; 2366,100;48547,000;56,02598
1174,81;27711,600; 2318,600;47745,300;55,89884
1179,18;27494,600; 2329,700;47463,900;55,75572
1183,54;27125,400; 2345,800;47060,900;55,41663
