purpleps
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 2989,700; 2348,500;19637,500; 3,70872
1019,01; 3029,100; 2352,700;20829,700; 3,66077
1023,54; 3084,700; 2377,000;21962,200; 3,61344
1028,07; 3087,100; 2352,700;23028,700; 3,55194
1032,59; 3113,300; 2345,300;24165,800; 3,51963
1037,10; 3128,700; 2317,300;25614,800; 3,48278
1041,62; 3189,100; 2350,000;26799,400; 3,43199
1046,12; 3306,100; 2427,500;28080,800; 3,42490
1050,62; 3248,500; 2344,700;28925,600; 3,40019
1055,12; 3225,900; 2300,600;29808,600; 3,36375
1059,62; 3265,900; 2304,000;30750,500; 3,38144
1064,10; 3356,300; 2352,400;31934,300; 3,39363
1068,59; 3422,000; 2395,400;32879,900; 3,36761
1073,07; 3394,500; 2329,700;33988,100; 3,36340
1077,54; 3423,500; 2333,200;34909,400; 3,34692
1082,01; 3496,300; 2383,100;36084,400; 3,30314
1086,48; 3518,400; 2367,300;37013,200; 3,32247
1090,94; 3470,900; 2303,100;37697,100; 3,29943
1095,39; 3637,900; 2435,000;38991,300; 3,29054
1099,85; 3571,300; 2333,800;40179,000; 3,26990
1104,29; 3612,700; 2343,900;41108,400; 3,27310
1108,73; 3599,300; 2303,100;42037,300; 3,26218
1113,17; 3725,200; 2407,700;42761,500; 3,26487
1117,61; 3698,300; 2355,500;43454,900; 3,26720
1122,03; 3760,900; 2409,900;44116,600; 3,23929
1126,46; 3683,800; 2310,600;44683,800; 3,24073
1130,88; 3685,200; 2301,200;45196,100; 3,22649
1135,29; 3814,600; 2423,100;45857,400; 3,20369
1139,70; 3705,800; 2288,100;46461,700; 3,20938
1144,11; 3736,400; 2306,000;47061,800; 3,19601
1148,51; 3760,400; 2313,600;47677,600; 3,18931
1152,90; 3805,000; 2332,800;47946,200; 3,22756
1157,29; 3803,400; 2292,900;48421,700; 3,27453
1161,68; 3829,200; 2313,100;48619,300; 3,27408
1166,06; 3831,700; 2309,600;48732,900; 3,27874
1170,44; 3893,000; 2366,100;48547,000; 3,30635
