reference last
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;19145,200; 2348,500;19637,500;97,15252
1019,01;20314,800; 2352,700;20829,700;97,21329
1023,54;21400,000; 2377,000;21962,200;97,12947
1028,07;22432,800; 2352,700;23028,700;97,11791
1032,59;23531,600; 2345,300;24165,800;97,09356
1037,10;24939,800; 2317,300;25614,800;97,10269
1041,62;26079,300; 2350,000;26799,400;97,05473
1046,12;27295,300; 2427,500;28080,800;96,93802
1050,62;28105,900; 2344,700;28925,600;96,91621
1055,12;28952,900; 2300,600;29808,600;96,88927
1059,62;29877,900; 2304,000;30750,500;96,93249
1064,10;31041,500; 2352,400;31934,300;96,98194
1068,59;31989,400; 2395,400;32879,900;97,07884
1073,07;33109,500; 2329,700;33988,100;97,22475
1077,54;34021,800; 2333,200;34909,400;97,27531
1082,01;35158,400; 2383,100;36084,400;97,25233
1086,48;36028,500; 2367,300;37013,200;97,15782
1090,94;36668,900; 2303,100;37697,100;97,09499
1095,39;37895,600; 2435,000;38991,300;97,00271
1099,85;39007,900; 2333,800;40179,000;96,90555
1104,29;39863,800; 2343,900;41108,400;96,78933
1108,73;40748,400; 2303,100;42037,300;96,75619
1113,17;41470,000; 2407,700;42761,500;96,79956
1117,61;42181,000; 2355,500;43454,900;96,90044
1122,03;42857,100; 2409,900;44116,600;96,98010
1126,46;43453,200; 2310,600;44683,800;97,09581
1130,88;43992,600; 2301,200;45196,100;97,19431
1135,29;44687,800; 2423,100;45857,400;97,30720
1139,70;45266,900; 2288,100;46461,700;97,29522
1144,11;45807,900; 2306,000;47061,800;97,19835
1148,51;46378,300; 2313,600;47677,600;97,13583
1152,90;46605,000; 2332,800;47946,200;97,05964
1157,29;47041,000; 2292,900;48421,700;97,00686
1161,68;47205,400; 2313,100;48619,300;96,94663
1166,06;47256,700; 2309,600;48732,900;96,82013
1170,44;47027,800; 2366,100;48547,000;96,71033
1174,81;46231,700; 2318,600;47745,300;96,66804
1179,18;45975,000; 2329,700;47463,900;96,70117
1183,54;45631,200; 2345,800;47060,900;96,80265
