reference
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;19453,000; 2348,500;19637,500;98,93285
1019,01;20630,100; 2352,700;20829,700;98,91974
1023,54;21748,400; 2377,000;21962,200;98,90836
1028,07;22797,100; 2352,700;23028,700;98,87986
1032,59;23920,100; 2345,300;24165,800;98,87399
1037,10;25352,900; 2317,300;25614,800;98,87585
1041,62;26530,200; 2350,000;26799,400;98,89895
1046,12;27789,300; 2427,500;28080,800;98,86369
1050,62;28623,600; 2344,700;28925,600;98,86385
1055,12;29482,300; 2300,600;29808,600;98,81380
1059,62;30420,400; 2304,000;30750,500;98,83958
1064,10;31589,300; 2352,400;31934,300;98,83375
1068,59;32515,900; 2395,400;32879,900;98,80595
1073,07;33623,200; 2329,700;33988,100;98,84738
1077,54;34518,100; 2333,200;34909,400;98,79882
1082,01;35680,300; 2383,100;36084,400;98,80094
1086,48;36599,500; 2367,300;37013,200;98,80592
1090,94;37273,000; 2303,100;37697,100;98,80177
1095,39;38550,600; 2435,000;38991,300;98,79446
1099,85;39711,600; 2333,800;40179,000;98,76497
1104,29;40626,800; 2343,900;41108,400;98,75763
1108,73;41561,700; 2303,100;42037,300;98,80305
1113,17;42292,300; 2407,700;42761,500;98,83728
1117,61;42979,700; 2355,500;43454,900;98,84378
1122,03;43622,900; 2409,900;44116,600;98,81626
1126,46;44177,500; 2310,600;44683,800;98,80514
1130,88;44694,000; 2301,200;45196,100;98,82946
1135,29;45355,900; 2423,100;45857,400;98,84538
1139,70;45933,100; 2288,100;46461,700;98,80336
1144,11;46520,400; 2306,000;47061,800;98,79032
1148,51;47148,700; 2313,600;47677,600;98,83410
1152,90;47411,700; 2332,800;47946,200;98,82820
1157,29;47867,300; 2292,900;48421,700;98,79815
1161,68;48072,700; 2313,100;48619,300;98,81960
1166,06;48180,400; 2309,600;48732,900;98,80986
1170,44;47989,400; 2366,100;48547,000;98,79257
1174,81;47204,000; 2318,600;47745,300;98,80841
1179,18;46929,400; 2329,700;47463,900;98,81575
1183,54;46531,100; 2345,800;47060,900;98,81517
