vanwerven
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;11921,700; 2348,500;19637,500;55,37162
1019,01;12588,900; 2352,700;20829,700;55,39969
1023,54;13237,100; 2377,000;21962,200;55,45054
1028,07;13836,000; 2352,700;23028,700;55,53927
1032,59;14481,400; 2345,300;24165,800;55,61788
1037,10;15299,400; 2317,300;25614,800;55,72315
1041,62;15987,900; 2350,000;26799,400;55,78010
1046,12;16745,200; 2427,500;28080,800;55,81231
1050,62;17202,100; 2344,700;28925,600;55,89502
1055,12;17702,500; 2300,600;29808,600;55,99062
1059,62;18261,000; 2304,000;30750,500;56,09477
1064,10;18984,100; 2352,400;31934,300;56,22256
1068,59;19565,900; 2395,400;32879,900;56,32535
1073,07;20217,500; 2329,700;33988,100;56,50254
1077,54;20765,200; 2333,200;34909,400;56,58119
1082,01;21466,300; 2383,100;36084,400;56,62452
1086,48;21996,300; 2367,300;37013,200;56,65605
1090,94;22362,800; 2303,100;37697,100;56,67543
1095,39;23148,200; 2435,000;38991,300;56,66110
1099,85;23772,000; 2333,800;40179,000;56,64708
1104,29;24305,700; 2343,900;41108,400;56,65441
1108,73;24805,800; 2303,100;42037,300;56,63308
1113,17;25283,900; 2407,700;42761,500;56,68909
1117,61;25692,000; 2355,500;43454,900;56,78063
1122,03;26096,100; 2409,900;44116,600;56,79231
1126,46;26394,700; 2310,600;44683,800;56,83805
1130,88;26675,300; 2301,200;45196,100;56,82284
1135,29;27066,500; 2423,100;45857,400;56,73719
1139,70;27275,700; 2288,100;46461,700;56,56682
1144,11;27500,400; 2306,000;47061,800;56,29304
1148,51;27712,700; 2313,600;47677,600;55,98955
1152,90;27721,600; 2332,800;47946,200;55,66084
1157,29;27750,800; 2292,900;48421,700;55,18873
1161,68;27609,400; 2313,100;48619,300;54,62832
1166,06;27421,400; 2309,600;48732,900;54,09310
1170,44;27175,100; 2366,100;48547,000;53,72134
1174,81;26651,900; 2318,600;47745,300;53,56607
1179,18;26515,400; 2329,700;47463,900;53,58619
1183,54;26301,800; 2345,800;47060,900;53,57474
