white pet square
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;17224,600; 2348,500;19637,500;86,04373
1019,01;18190,300; 2352,700;20829,700;85,71521
1023,54;19105,500; 2377,000;21962,200;85,41399
1028,07;19958,800; 2352,700;23028,700;85,15235
1032,59;20881,400; 2345,300;24165,800;84,94810
1037,10;22069,100; 2317,300;25614,800;84,78077
1041,62;23010,800; 2350,000;26799,400;84,50432
1046,12;24039,800; 2427,500;28080,800;84,24764
1050,62;24668,100; 2344,700;28925,600;83,98286
1055,12;25335,200; 2300,600;29808,600;83,73782
1059,62;26066,500; 2304,000;30750,500;83,53400
1064,10;26996,200; 2352,400;31934,300;83,30702
1068,59;27728,200; 2395,400;32879,900;83,10059
1073,07;28589,200; 2329,700;33988,100;82,94639
1077,54;29255,500; 2333,200;34909,400;82,64408
1082,01;30114,400; 2383,100;36084,400;82,28555
1086,48;30727,400; 2367,300;37013,200;81,85702
1090,94;31101,200; 2303,100;37697,100;81,36436
1095,39;31950,200; 2435,000;38991,300;80,73902
1099,85;32598,300; 2333,800;40179,000;79,96919
1104,29;32961,400; 2343,900;41108,400;78,98335
1108,73;33242,800; 2303,100;42037,300;77,86667
1113,17;33316,900; 2407,700;42761,500;76,59551
1117,61;33262,200; 2355,500;43454,900;75,19988
1122,03;33164,000; 2409,900;44116,600;73,73899
1126,46;33079,200; 2310,600;44683,800;72,61335
1130,88;33325,300; 2301,200;45196,100;72,32585
1135,29;34166,000; 2423,100;45857,400;73,08256
1139,70;35001,000; 2288,100;46461,700;74,05532
1144,11;35619,800; 2306,000;47061,800;74,43460
1148,51;35962,800; 2313,600;47677,600;74,17600
1152,90;35905,200; 2332,800;47946,200;73,60206
1157,29;35938,500; 2292,900;48421,700;72,93838
1161,68;35770,700; 2313,100;48619,300;72,25296
1166,06;35573,200; 2309,600;48732,900;71,65281
1170,44;35246,500; 2366,100;48547,000;71,19913
1174,81;34576,900; 2318,600;47745,300;71,01176
1179,18;34446,000; 2329,700;47463,900;71,15735
1183,54;34327,800; 2345,800;47060,900;71,52394
