whitepstriangle
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;12893,400; 2348,500;19637,500;60,99196
1019,01;13584,700; 2352,700;20829,700;60,78909
1023,54;14251,900; 2377,000;21962,200;60,63201
1028,07;14848,700; 2352,700;23028,700;60,43722
1032,59;15507,600; 2345,300;24165,800;60,32080
1037,10;16346,400; 2317,300;25614,800;60,21719
1041,62;17016,100; 2350,000;26799,400;59,98552
1046,12;17782,300; 2427,500;28080,800;59,85507
1050,62;18211,500; 2344,700;28925,600;59,69249
1055,12;18687,700; 2300,600;29808,600;59,57212
1059,62;19217,100; 2304,000;30750,500;59,45582
1064,10;19916,800; 2352,400;31934,300;59,37550
1068,59;20461,900; 2395,400;32879,900;59,26454
1073,07;21070,400; 2329,700;33988,100;59,19661
1077,54;21572,900; 2333,200;34909,400;59,06060
1082,01;22212,000; 2383,100;36084,400;58,83720
1086,48;22685,100; 2367,300;37013,200;58,64417
1090,94;22990,500; 2303,100;37697,100;58,44889
1095,39;23699,300; 2435,000;38991,300;58,16863
1099,85;24228,200; 2333,800;40179,000;57,85251
1104,29;24649,500; 2343,900;41108,400;57,54131
1108,73;25023,400; 2303,100;42037,300;57,18072
1113,17;25327,800; 2407,700;42761,500;56,79787
1117,61;25516,800; 2355,500;43454,900;56,35435
1122,03;25683,700; 2409,900;44116,600;55,80350
1126,46;25691,100; 2310,600;44683,800;55,17757
1130,88;25653,100; 2301,200;45196,100;54,43981
1135,29;25683,700; 2423,100;45857,400;53,55353
1139,70;25592,000; 2288,100;46461,700;52,75527
1144,11;25751,500; 2306,000;47061,800;52,38539
1148,51;26164,100; 2313,600;47677,600;52,57583
1152,90;26561,400; 2332,800;47946,200;53,11729
1157,29;27018,200; 2292,900;48421,700;53,60057
1161,68;27202,900; 2313,100;48619,300;53,75047
1166,06;27234,000; 2309,600;48732,900;53,68942
1170,44;27084,100; 2366,100;48547,000;53,52429
1174,81;26536,900; 2318,600;47745,300;53,31292
1179,18;26299,700; 2329,700;47463,900;53,10829
1183,54;25965,500; 2345,800;47060,900;52,82265
