yellowcheesegrater
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4110,900; 2348,500;19637,500;10,19376
1019,01; 4212,900; 2352,700;20829,700;10,06765
1023,54; 4336,300; 2377,000;21962,200;10,00398
1028,07; 4402,200; 2352,700;23028,700; 9,91246
1032,59; 4496,800; 2345,300;24165,800; 9,85999
1037,10; 4610,000; 2317,300;25614,800; 9,84097
1041,62; 4727,600; 2350,000;26799,400; 9,72457
1046,12; 4921,600; 2427,500;28080,800; 9,72234
1050,62; 4915,700; 2344,700;28925,600; 9,67236
1055,12; 4951,400; 2300,600;29808,600; 9,63647
1059,62; 5034,400; 2304,000;30750,500; 9,59837
1064,10; 5189,400; 2352,400;31934,300; 9,59032
1068,59; 5305,700; 2395,400;32879,900; 9,54682
1073,07; 5347,700; 2329,700;33988,100; 9,53301
1077,54; 5433,100; 2333,200;34909,400; 9,51584
1082,01; 5554,600; 2383,100;36084,400; 9,41062
1086,48; 5628,300; 2367,300;37013,200; 9,41237
1090,94; 5606,700; 2303,100;37697,100; 9,33379
1095,39; 5823,000; 2435,000;38991,300; 9,26790
1099,85; 5810,300; 2333,800;40179,000; 9,18611
1104,29; 5870,200; 2343,900;41108,400; 9,09673
1108,73; 5867,700; 2303,100;42037,300; 8,97111
1113,17; 5982,600; 2407,700;42761,500; 8,85889
1117,61; 5928,300; 2355,500;43454,900; 8,69307
1122,03; 5946,200; 2409,900;44116,600; 8,47897
1126,46; 5794,700; 2310,600;44683,800; 8,22241
1130,88; 5706,100; 2301,200;45196,100; 7,93777
1135,29; 5740,900; 2423,100;45857,400; 7,63866
1139,70; 5570,200; 2288,100;46461,700; 7,43000
1144,11; 5597,800; 2306,000;47061,800; 7,35502
1148,51; 5717,100; 2313,600;47677,600; 7,50265
1152,90; 5893,400; 2332,800;47946,200; 7,80604
1157,29; 6029,400; 2292,900;48421,700; 8,10015
1161,68; 6150,100; 2313,100;48619,300; 8,28615
1166,06; 6201,900; 2309,600;48732,900; 8,38437
1170,44; 6253,500; 2366,100;48547,000; 8,41777
