135-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;19646,200; 2348,500;19637,500;100,05032
1019,01;20835,500; 2352,700;20829,700;100,03139
1023,54;21960,400; 2377,000;21962,200;99,99081
1028,07;23021,900; 2352,700;23028,700;99,96711
1032,59;24153,400; 2345,300;24165,800;99,94317
1037,10;25612,100; 2317,300;25614,800;99,98841
1041,62;26769,400; 2350,000;26799,400;99,87730
1046,12;28029,600; 2427,500;28080,800;99,80042
1050,62;28861,800; 2344,700;28925,600;99,75998
1055,12;29729,200; 2300,600;29808,600;99,71136
1059,62;30661,700; 2304,000;30750,500;99,68784
1064,10;31852,400; 2352,400;31934,300;99,72314
1068,59;32815,600; 2395,400;32879,900;99,78907
1073,07;33943,200; 2329,700;33988,100;99,85817
1077,54;34862,500; 2333,200;34909,400;99,85603
1082,01;36027,500; 2383,100;36084,400;99,83116
1086,48;36922,900; 2367,300;37013,200;99,73936
1090,94;37554,800; 2303,100;37697,100;99,59795
1095,39;38809,200; 2435,000;38991,300;99,50186
1099,85;39916,600; 2333,800;40179,000;99,30665
1104,29;40750,300; 2343,900;41108,400;99,07622
1108,73;41580,000; 2303,100;42037,300;98,84910
1113,17;42195,600; 2407,700;42761,500;98,59765
1117,61;42771,900; 2355,500;43454,900;98,33818
1122,03;43286,400; 2409,900;44116,600;98,00943
1126,46;43755,900; 2310,600;44683,800;97,81017
1130,88;44274,300; 2301,200;45196,100;97,85103
1135,29;45017,100; 2423,100;45857,400;98,06535
1139,70;45710,500; 2288,100;46461,700;98,29944
1144,11;46357,000; 2306,000;47061,800;98,42523
1148,51;46948,500; 2313,600;47677,600;98,39278
1152,90;47142,600; 2332,800;47946,200;98,23824
1157,29;47543,100; 2292,900;48421,700;98,09533
1161,68;47669,200; 2313,100;48619,300;97,94822
1166,06;47705,600; 2309,600;48732,900;97,78710
1170,44;47477,300; 2366,100;48547,000;97,68367
1174,81;46687,300; 2318,600;47745,300;97,67097
1179,18;46463,100; 2329,700;47463,900;97,78261
1183,54;46137,700; 2345,800;47060,900;97,93537
