202-backside
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;14949,100; 2348,500;19637,500;72,88218
1019,01;15711,700; 2352,700;20829,700;72,30070
1023,54;16457,700; 2377,000;21962,200;71,89459
1028,07;17120,000; 2352,700;23028,700;71,42242
1032,59;17835,400; 2345,300;24165,800;70,98875
1037,10;18760,700; 2317,300;25614,800;70,58011
1041,62;19521,300; 2350,000;26799,400;70,23199
1046,12;20365,500; 2427,500;28080,800;69,92473
1050,62;20878,800; 2344,700;28925,600;69,72713
1055,12;21420,200; 2300,600;29808,600;69,50560
1059,62;22022,600; 2304,000;30750,500;69,31819
1064,10;22788,100; 2352,400;31934,300;69,08177
1068,59;23371,800; 2395,400;32879,900;68,81005
1073,07;24028,000; 2329,700;33988,100;68,53884
1077,54;24551,500; 2333,200;34909,400;68,20409
1082,01;25258,200; 2383,100;36084,400;67,87602
1086,48;25805,800; 2367,300;37013,200;67,65158
1090,94;26145,300; 2303,100;37697,100;67,36226
1095,39;26944,900; 2435,000;38991,300;67,04699
1099,85;27584,700; 2333,800;40179,000;66,72154
1104,29;28094,400; 2343,900;41108,400;66,42805
1108,73;28555,600; 2303,100;42037,300;66,07029
1113,17;28940,000; 2407,700;42761,500;65,74920
1117,61;29244,100; 2355,500;43454,900;65,42334
1122,03;29546,400; 2409,900;44116,600;65,06509
1126,46;29725,700; 2310,600;44683,800;64,69915
1130,88;29882,100; 2301,200;45196,100;64,29879
1135,29;30119,600; 2423,100;45857,400;63,76642
1139,70;30179,300; 2288,100;46461,700;63,13998
1144,11;30223,700; 2306,000;47061,800;62,37784
1148,51;30236,100; 2313,600;47677,600;61,55211
1152,90;30013,900; 2332,800;47946,200;60,68633
1157,29;29825,100; 2292,900;48421,700;59,68549
1161,68;29385,900; 2313,100;48619,300;58,46474
1166,06;28900,400; 2309,600;48732,900;57,27900
1170,44;28478,200; 2366,100;48547,000;56,54307
1174,81;27668,000; 2318,600;47745,300;55,80286
1179,18;27046,200; 2329,700;47463,900;54,76224
1183,54;26214,800; 2345,800;47060,900;53,38018
