202
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;14415,100; 2348,500;19637,500;69,79351
1019,01;15127,600; 2352,700;20829,700;69,13947
1023,54;15833,800; 2377,000;21962,200;68,70903
1028,07;16457,900; 2352,700;23028,700;68,22016
1032,59;17127,600; 2345,300;24165,800;67,74501
1037,10;18011,800; 2317,300;25614,800;67,36560
1041,62;18730,000; 2350,000;26799,400;66,99551
1046,12;19543,700; 2427,500;28080,800;66,72124
1050,62;20029,500; 2344,700;28925,600;66,53198
1055,12;20545,800; 2300,600;29808,600;66,32689
1059,62;21099,900; 2304,000;30750,500;66,07456
1064,10;21834,400; 2352,400;31934,300;65,85784
1068,59;22380,000; 2395,400;32879,900;65,55659
1073,07;22987,900; 2329,700;33988,100;65,25346
1077,54;23485,500; 2333,200;34909,400;64,93176
1082,01;24150,500; 2383,100;36084,400;64,58920
1086,48;24648,200; 2367,300;37013,200;64,31035
1090,94;24944,300; 2303,100;37697,100;63,96903
1095,39;25692,700; 2435,000;38991,300;63,62159
1099,85;26290,100; 2333,800;40179,000;63,30076
1104,29;26750,700; 2343,900;41108,400;62,96173
1108,73;27182,700; 2303,100;42037,300;62,61508
1113,17;27542,000; 2407,700;42761,500;62,28484
1117,61;27831,200; 2355,500;43454,900;61,98558
1122,03;28109,900; 2409,900;44116,600;61,62079
1126,46;28268,400; 2310,600;44683,800;61,25995
1130,88;28391,800; 2301,200;45196,100;60,82448
1135,29;28603,400; 2423,100;45857,400;60,27563
1139,70;28636,700; 2288,100;46461,700;59,64784
1144,11;28656,500; 2306,000;47061,800;58,87617
1148,51;28640,500; 2313,600;47677,600;58,03479
1152,90;28402,200; 2332,800;47946,200;57,15294
1157,29;28190,400; 2292,900;48421,700;56,14172
1161,68;27730,300; 2313,100;48619,300;54,88941
1166,06;27227,800; 2309,600;48732,900;53,67606
1170,44;26794,400; 2366,100;48547,000;52,89698
1174,81;25998,900; 2318,600;47745,300;52,12859
1179,18;25352,900; 2329,700;47463,900;51,01054
1183,54;24500,100; 2345,800;47060,900;49,54546
