306
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;17952,500; 2348,500;19637,500;90,25392
1019,01;18957,500; 2352,700;20829,700;89,86740
1023,54;19925,500; 2377,000;21962,200;89,60082
1028,07;20821,000; 2352,700;23028,700;89,32240
1032,59;21797,900; 2345,300;24165,800;89,14828
1037,10;23038,100; 2317,300;25614,800;88,94002
1041,62;24045,400; 2350,000;26799,400;88,73592
1046,12;25127,600; 2427,500;28080,800;88,48803
1050,62;25812,000; 2344,700;28925,600;88,28633
1055,12;26521,700; 2300,600;29808,600;88,05111
1059,62;27286,200; 2304,000;30750,500;87,82170
1064,10;28270,100; 2352,400;31934,300;87,61337
1068,59;29031,600; 2395,400;32879,900;87,37621
1073,07;29922,400; 2329,700;33988,100;87,15759
1077,54;30638,800; 2333,200;34909,400;86,89043
1082,01;31578,700; 2383,100;36084,400;86,63049
1086,48;32278,500; 2367,300;37013,200;86,33403
1090,94;32739,400; 2303,100;37697,100;85,99282
1095,39;33729,700; 2435,000;38991,300;85,60686
1099,85;34559,800; 2333,800;40179,000;85,15215
1104,29;35126,000; 2343,900;41108,400;84,56732
1108,73;35611,600; 2303,100;42037,300;83,82829
1113,17;35821,500; 2407,700;42761,500;82,80212
1117,61;35828,600; 2355,500;43454,900;81,44425
1122,03;35654,600; 2409,900;44116,600;79,71069
1126,46;35201,300; 2310,600;44683,800;77,62147
1130,88;34544,600; 2301,200;45196,100;75,16838
1135,29;33912,400; 2423,100;45857,400;72,49869
1139,70;33351,800; 2288,100;46461,700;70,32187
1144,11;33472,900; 2306,000;47061,800;69,63768
1148,51;34432,100; 2313,600;47677,600;70,80174
1152,90;35672,300; 2332,800;47946,200;73,09146
1157,29;37021,000; 2292,900;48421,700;75,28507
1161,68;37795,500; 2313,100;48619,300;76,62559
1166,06;38123,900; 2309,600;48732,900;77,14725
1170,44;38040,200; 2366,100;48547,000;77,24860
1174,81;37325,900; 2318,600;47745,300;77,06327
1179,18;36945,700; 2329,700;47463,900;76,69572
1183,54;36347,900; 2345,800;47060,900;76,04165
