ID,PlasticType,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720
010-backside,PP,1.876399839,0.2856931444,0.4532348164,-0.3750103661,-0.4602759681,-0.8332127566,-1.763229903
10,PP,1.852961624,0.161553107,0.4940204721,-0.3587930808,-0.3660687461,-0.7415865582,-1.875325632
23,PP,1.78421212,-0.5327068265,0.2779007736,-0.2519328671,0.2261014073,0.1196075657,-2.437667094
30,PP,0.1615163106,-1.487243855,-0.1888619282,0.2105017156,1.285107775,1.712468318,-1.880492097
33,PP,1.213621167,-1.184027983,-0.1805767878,-0.1764095195,0.8762784617,1.345829355,-2.167375183
039-2,PP,0.8681739463,0.1835486525,0.6179728562,0.08942842509,0.2541418033,-0.1304989584,-2.958539161
39,PP,0.8669807608,0.1558753843,0.5959248,0.07848735666,0.2577673487,-0.08743995347,-2.967627744
042-2,PP,1.748839126,0.299674681,0.5307096855,-0.3252432846,-0.4315278131,-0.8662635286,-1.874431889
42,PP,1.712125319,0.2118941124,0.5820612102,-0.3044070723,-0.3426983782,-0.8215593883,-1.964189389
048-2,PP,1.920682968,0.2996953461,0.415546556,-0.388318928,-0.4803379898,-0.8412965409,-1.697713835
48,PP,1.910467064,0.1406781655,0.4453126238,-0.3854366668,-0.3468583867,-0.6882587948,-1.8528019
099-2,PP,-0.4337182532,-1.088674945,0.04719780617,0.4375613386,1.337400129,1.472229982,-2.152471999
99,PP,-0.2118664954,-1.09750839,0.2185159171,0.4236252645,1.338709895,1.238962807,-2.330125228
105-2,PET,0.7339903068,0.5207397278,0.6808247159,0.3856289934,0.6483122602,-2.77256246,-1.816602149
105,PET,0.1178629607,-1.790080083,-0.3472414826,0.8456095179,0.8590929251,-0.2224980335,0.3689994413
106-2,PET,0.2335958602,0.3272276894,0.6760922507,0.5901417638,0.9195672251,-3.025462096,-1.602677132
106,PET,0.2806324026,0.3150585105,0.6651220669,0.5789699567,0.9045920152,-2.950207673,-1.683799571
107,PET,1.114601451,0.8271044957,0.5569038225,0.0653836505,0.114169067,-2.767005163,-1.542042124
109-2,PET,1.842382711,0.8554095234,0.2930460632,-0.4234628198,-0.3001067716,-2.00621537,-1.241614931
109,PET,1.946087983,0.7554906031,0.2942262473,-0.3752394111,-0.4455305749,-1.785156596,-1.273537478
119-2,PET,1.934088359,0.8046302864,0.3356580624,-0.3854077574,-0.5341200884,-1.510580767,-1.289560609
119-3,PET,1.956395665,0.8085460676,0.2911846894,-0.4259975218,-0.5033986885,-1.66159354,-1.164373866
119,PET,1.544394846,0.1369924861,-0.03231635742,-0.3195486106,0.6408941969,-3.036463626,0.05754749401
129-2,PET,1.266355485,1.149465735,0.5708691546,-0.2007966374,-0.3481216252,-2.230639264,-1.289281512
129,PET,1.116060078,0.9366915818,0.5121975576,0.04483660267,0.02611400056,-2.867536166,-1.260945743
135-2,PET,1.020244194,0.82530503,0.5573421666,0.1039442621,0.138602091,-2.901758016,-1.507674449
