ID,Wavelength,Values,PlasticType
010-backside,1014.48,63.2084,PP
010-backside,1019.01,62.66277,PP
010-backside,1023.54,62.22964,PP
010-backside,1028.07,61.80257,PP
010-backside,1032.59,61.43901,PP
010-backside,1037.1,61.0499,PP
010-backside,1041.62,60.60721,PP
010-backside,1046.12,60.27724,PP
010-backside,1050.62,59.90504,PP
010-backside,1055.12,59.5474,PP
010-backside,1059.62,59.17951,PP
010-backside,1064.1,58.89547,PP
010-backside,1068.59,58.50449,PP
010-backside,1073.07,58.17477,PP
010-backside,1077.54,57.78974,PP
010-backside,1082.01,57.38265,PP
010-backside,1086.48,57.04369,PP
010-backside,1090.94,56.65113,PP
010-backside,1095.39,56.2349,PP
010-backside,1099.85,55.87129,PP
010-backside,1104.29,55.53844,PP
010-backside,1108.73,55.16633,PP
010-backside,1113.17,54.78121,PP
010-backside,1117.61,54.34362,PP
010-backside,1122.03,53.80502,PP
010-backside,1126.46,53.24356,PP
010-backside,1130.88,52.58317,PP
010-backside,1135.29,51.80767,PP
010-backside,1139.7,50.95306,PP
010-backside,1144.11,49.94973,PP
010-backside,1148.51,48.83784,PP
010-backside,1152.9,47.89382,PP
010-backside,1157.29,47.18397,PP
010-backside,1161.68,46.39962,PP
010-backside,1166.06,45.34167,PP
010-backside,1170.44,44.17519,PP
010-backside,1174.81,43.00885,PP
010-backside,1179.18,41.86382,PP
010-backside,1183.54,40.53731,PP
010-backside,1187.9,39.23479,PP
010-backside,1192.25,38.46616,PP
010-backside,1196.6,38.30092,PP
010-backside,1200.94,38.25953,PP
010-backside,1205.28,38.22339,PP
010-backside,1209.62,38.1557,PP
010-backside,1213.95,38.20734,PP
010-backside,1218.27,38.72053,PP
010-backside,1222.59,39.47675,PP
010-backside,1226.91,40.27604,PP
010-backside,1231.22,41.01202,PP
010-backside,1235.52,41.56121,PP
010-backside,1239.82,41.8832,PP
010-backside,1244.12,42.06795,PP
010-backside,1248.41,42.18862,PP
010-backside,1252.7,42.17922,PP
010-backside,1256.98,42.16577,PP
010-backside,1261.26,42.08635,PP
010-backside,1265.53,41.95124,PP
010-backside,1269.8,41.87256,PP
010-backside,1274.06,41.72378,PP
010-backside,1278.32,41.50294,PP
010-backside,1282.57,41.35726,PP
010-backside,1286.82,41.11777,PP
010-backside,1291.06,40.92756,PP
010-backside,1295.3,40.74811,PP
010-backside,1299.53,40.53935,PP
010-backside,1303.76,40.30936,PP
010-backside,1307.99,40.09112,PP
010-backside,1312.2,39.82367,PP
010-backside,1316.42,39.57117,PP
010-backside,1320.63,39.30521,PP
010-backside,1324.83,39.00972,PP
010-backside,1329.03,38.64907,PP
010-backside,1333.23,38.20026,PP
010-backside,1337.42,37.68935,PP
010-backside,1341.6,37.13395,PP
010-backside,1345.78,36.53295,PP
010-backside,1349.96,35.80582,PP
010-backside,1354.13,34.93536,PP
010-backside,1358.29,33.92968,PP
010-backside,1362.46,33.07062,PP
010-backside,1366.61,32.37696,PP
010-backside,1370.76,31.75234,PP
010-backside,1374.91,31.04872,PP
010-backside,1379.05,30.4072,PP
010-backside,1383.18,29.88346,PP
010-backside,1387.32,29.52971,PP
010-backside,1391.44,29.08219,PP
010-backside,1395.56,28.99172,PP
010-backside,1399.68,29.16595,PP
010-backside,1403.79,29.38017,PP
010-backside,1407.9,29.40689,PP
010-backside,1412,29.19887,PP
010-backside,1416.1,29.20001,PP
010-backside,1420.19,29.30296,PP
010-backside,1424.27,29.32102,PP
010-backside,1428.36,29.28682,PP
010-backside,1432.43,29.24534,PP
010-backside,1436.5,29.22932,PP
010-backside,1440.57,29.1812,PP
010-backside,1444.63,29.18662,PP
010-backside,1448.69,29.27664,PP
010-backside,1452.74,29.27593,PP
010-backside,1456.79,29.26448,PP
010-backside,1460.83,29.26902,PP
010-backside,1464.87,29.21898,PP
010-backside,1468.9,29.26286,PP
010-backside,1472.93,29.28965,PP
010-backside,1476.95,29.20689,PP
010-backside,1480.96,29.16872,PP
010-backside,1484.98,29.12806,PP
010-backside,1488.98,29.10056,PP
010-backside,1492.98,29.04,PP
010-backside,1496.98,29.06315,PP
010-backside,1500.97,29.05611,PP
010-backside,1504.96,29.04359,PP
010-backside,1508.94,29.00574,PP
010-backside,1512.92,28.9039,PP
010-backside,1516.89,28.86826,PP
010-backside,1520.85,28.75342,PP
010-backside,1524.81,28.7217,PP
010-backside,1528.77,28.60575,PP
010-backside,1532.72,28.58137,PP
010-backside,1536.67,28.40332,PP
010-backside,1540.61,28.30595,PP
010-backside,1544.54,28.26737,PP
010-backside,1548.47,28.10877,PP
010-backside,1552.4,27.95698,PP
010-backside,1556.32,27.82125,PP
010-backside,1560.23,27.67351,PP
010-backside,1564.15,27.49998,PP
010-backside,1568.05,27.44018,PP
010-backside,1571.95,27.24083,PP
010-backside,1575.84,27.09146,PP
010-backside,1579.73,26.97611,PP
010-backside,1583.62,26.66496,PP
010-backside,1587.5,26.53049,PP
010-backside,1591.37,26.35463,PP
010-backside,1595.24,26.08491,PP
010-backside,1599.11,25.87606,PP
010-backside,1602.96,25.6796,PP
010-backside,1606.82,25.46144,PP
010-backside,1610.67,25.16772,PP
010-backside,1614.51,24.90657,PP
010-backside,1618.35,24.6146,PP
010-backside,1622.18,24.34152,PP
010-backside,1626.01,24.08633,PP
010-backside,1629.83,23.78395,PP
010-backside,1633.65,23.685,PP
010-backside,1637.46,23.5394,PP
010-backside,1641.27,23.36897,PP
010-backside,1645.07,23.24114,PP
010-backside,1648.86,23.03404,PP
010-backside,1652.66,22.75877,PP
010-backside,1656.44,22.38953,PP
010-backside,1660.22,21.90003,PP
010-backside,1664,21.33835,PP
010-backside,1667.77,20.73556,PP
010-backside,1671.53,19.91195,PP
010-backside,1675.29,19.03566,PP
010-backside,1679.05,18.06694,PP
010-backside,1682.8,16.73591,PP
010-backside,1686.54,15.15043,PP
010-backside,1690.28,13.21013,PP
010-backside,1694.01,12.14729,PP
010-backside,1697.74,11.73523,PP
010-backside,1701.46,11.08626,PP
010-backside,1705.18,10.55923,PP
010-backside,1708.89,10.46634,PP
010-backside,1712.6,10.58271,PP
010-backside,1716.3,10.61452,PP
010-backside,1720,10.37885,PP
010-backside,1723.69,10.20143,PP
010-backside,1727.38,10.45435,PP
010-backside,1731.06,10.72998,PP
010-backside,1734.73,10.96445,PP
010-backside,1738.4,11.53882,PP
010-backside,1742.07,12.06228,PP
010-backside,1745.73,12.60854,PP
010-backside,1749.38,12.96699,PP
10,1014.48,67.67135,PP
10,1019.01,67.07961,PP
10,1023.54,66.69934,PP
10,1028.07,66.34407,PP
10,1032.59,66.01774,PP
10,1037.1,65.72679,PP
10,1041.62,65.34025,PP
10,1046.12,65.00216,PP
10,1050.62,64.68254,PP
10,1055.12,64.38527,PP
10,1059.62,64.02932,PP
10,1064.1,63.72174,PP
10,1068.59,63.3955,PP
10,1073.07,63.12574,PP
10,1077.54,62.78111,PP
10,1082.01,62.44091,PP
10,1086.48,62.15483,PP
10,1090.94,61.8068,PP
10,1095.39,61.42799,PP
10,1099.85,61.06323,PP
10,1104.29,60.68645,PP
10,1108.73,60.28056,PP
10,1113.17,59.86376,PP
10,1117.61,59.43274,PP
10,1122.03,58.85649,PP
10,1126.46,58.26607,PP
10,1130.88,57.54554,PP
10,1135.29,56.69045,PP
10,1139.7,55.69978,PP
10,1144.11,54.49573,PP
10,1148.51,53.17807,PP
10,1152.9,52.04216,PP
10,1157.29,51.1986,PP
10,1161.68,50.27858,PP
10,1166.06,49.02775,PP
10,1170.44,47.67404,PP
10,1174.81,46.33707,PP
10,1179.18,45.06472,PP
10,1183.54,43.57745,PP
10,1187.9,42.13294,PP
10,1192.25,41.33592,PP
10,1196.6,41.17137,PP
10,1200.94,41.19794,PP
10,1205.28,41.17983,PP
10,1209.62,41.15027,PP
10,1213.95,41.27363,PP
10,1218.27,41.90913,PP
10,1222.59,42.88557,PP
10,1226.91,43.94346,PP
10,1231.22,44.91335,PP
10,1235.52,45.68985,PP
10,1239.82,46.2209,PP
10,1244.12,46.60866,PP
10,1248.41,46.89703,PP
10,1252.7,47.02509,PP
10,1256.98,47.1113,PP
10,1261.26,47.14117,PP
10,1265.53,47.094,PP
10,1269.8,47.04016,PP
10,1274.06,46.92551,PP
10,1278.32,46.76483,PP
10,1282.57,46.60942,PP
10,1286.82,46.415,PP
10,1291.06,46.20077,PP
10,1295.3,46.03867,PP
10,1299.53,45.81413,PP
10,1303.76,45.62371,PP
10,1307.99,45.42711,PP
10,1312.2,45.20969,PP
10,1316.42,44.98725,PP
10,1320.63,44.72314,PP
10,1324.83,44.4323,PP
10,1329.03,43.99097,PP
10,1333.23,43.47856,PP
10,1337.42,42.89674,PP
10,1341.6,42.22418,PP
10,1345.78,41.46751,PP
10,1349.96,40.54852,PP
10,1354.13,39.42743,PP
10,1358.29,38.19206,PP
10,1362.46,37.14802,PP
10,1366.61,36.33873,PP
10,1370.76,35.49983,PP
10,1374.91,34.69135,PP
10,1379.05,34.01114,PP
10,1383.18,33.3769,PP
10,1387.32,32.97488,PP
10,1391.44,32.58829,PP
10,1395.56,32.46768,PP
10,1399.68,32.75383,PP
10,1403.79,33.08194,PP
10,1407.9,33.13272,PP
10,1412,32.97009,PP
10,1416.1,32.98223,PP
10,1420.19,33.20021,PP
10,1424.27,33.29599,PP
10,1428.36,33.34358,PP
10,1432.43,33.35799,PP
10,1436.5,33.4525,PP
10,1440.57,33.5114,PP
10,1444.63,33.64524,PP
10,1448.69,33.7267,PP
10,1452.74,33.851,PP
10,1456.79,33.87974,PP
10,1460.83,33.97312,PP
10,1464.87,33.97338,PP
10,1468.9,34.0319,PP
10,1472.93,34.0793,PP
10,1476.95,34.0973,PP
10,1480.96,34.11948,PP
10,1484.98,34.11292,PP
10,1488.98,34.12741,PP
10,1492.98,34.17736,PP
10,1496.98,34.21496,PP
10,1500.97,34.31076,PP
10,1504.96,34.35917,PP
10,1508.94,34.45411,PP
10,1512.92,34.34409,PP
10,1516.89,34.43454,PP
10,1520.85,34.348,PP
10,1524.81,34.38617,PP
10,1528.77,34.34475,PP
10,1532.72,34.31071,PP
10,1536.67,34.20036,PP
10,1540.61,34.11314,PP
10,1544.54,34.02826,PP
10,1548.47,33.8721,PP
10,1552.4,33.82486,PP
10,1556.32,33.6644,PP
10,1560.23,33.52685,PP
10,1564.15,33.36467,PP
10,1568.05,33.2771,PP
10,1571.95,33.04053,PP
10,1575.84,32.88629,PP
10,1579.73,32.73857,PP
10,1583.62,32.46754,PP
10,1587.5,32.33428,PP
10,1591.37,32.14517,PP
10,1595.24,31.9226,PP
10,1599.11,31.74742,PP
10,1602.96,31.56352,PP
10,1606.82,31.32483,PP
10,1610.67,31.10303,PP
10,1614.51,30.86516,PP
10,1618.35,30.54566,PP
10,1622.18,30.19282,PP
10,1626.01,29.9113,PP
10,1629.83,29.59953,PP
10,1633.65,29.4377,PP
10,1637.46,29.23617,PP
10,1641.27,29.03942,PP
10,1645.07,28.87145,PP
10,1648.86,28.65817,PP
10,1652.66,28.31945,PP
10,1656.44,27.84688,PP
10,1660.22,27.30147,PP
10,1664,26.6346,PP
10,1667.77,25.85703,PP
10,1671.53,24.86242,PP
10,1675.29,23.75009,PP
10,1679.05,22.38904,PP
10,1682.8,20.67325,PP
10,1686.54,18.52102,PP
10,1690.28,16.24322,PP
10,1694.01,14.82513,PP
10,1697.74,14.2838,PP
10,1701.46,13.49142,PP
10,1705.18,12.88394,PP
10,1708.89,12.77632,PP
10,1712.6,12.97826,PP
10,1716.3,13.09364,PP
10,1720,12.91661,PP
10,1723.69,12.59994,PP
10,1727.38,12.8669,PP
10,1731.06,13.20531,PP
10,1734.73,13.4871,PP
10,1738.4,14.06143,PP
10,1742.07,14.9552,PP
10,1745.73,15.61436,PP
10,1749.38,16.03645,PP
23,1014.48,48.49905,PP
23,1019.01,48.06462,PP
23,1023.54,47.77332,PP
23,1028.07,47.4555,PP
23,1032.59,47.20103,PP
23,1037.1,46.94066,PP
23,1041.62,46.59705,PP
23,1046.12,46.27202,PP
23,1050.62,46.02591,PP
23,1055.12,45.74742,PP
23,1059.62,45.5005,PP
23,1064.1,45.32772,PP
23,1068.59,45.09013,PP
23,1073.07,44.91446,PP
23,1077.54,44.68815,PP
23,1082.01,44.41283,PP
23,1086.48,44.21043,PP
23,1090.94,43.92355,PP
23,1095.39,43.66033,PP
23,1099.85,43.36111,PP
23,1104.29,43.06801,PP
23,1108.73,42.776,PP
23,1113.17,42.51173,PP
23,1117.61,42.25512,PP
23,1122.03,41.92732,PP
23,1126.46,41.57416,PP
23,1130.88,41.16107,PP
23,1135.29,40.62849,PP
23,1139.7,39.97003,PP
23,1144.11,39.13683,PP
23,1148.51,38.19526,PP
23,1152.9,37.41159,PP
23,1157.29,36.81908,PP
23,1161.68,36.14915,PP
23,1166.06,35.26699,PP
23,1170.44,34.28062,PP
23,1174.81,33.31807,PP
23,1179.18,32.42641,PP
23,1183.54,31.35742,PP
23,1187.9,30.32495,PP
23,1192.25,29.78587,PP
23,1196.6,29.76964,PP
23,1200.94,29.86811,PP
23,1205.28,29.93732,PP
23,1209.62,29.98648,PP
23,1213.95,30.1393,PP
23,1218.27,30.71723,PP
23,1222.59,31.53772,PP
23,1226.91,32.48435,PP
23,1231.22,33.30819,PP
23,1235.52,33.9659,PP
23,1239.82,34.43021,PP
23,1244.12,34.81128,PP
23,1248.41,35.11699,PP
23,1252.7,35.30068,PP
23,1256.98,35.48201,PP
23,1261.26,35.59021,PP
23,1265.53,35.64258,PP
23,1269.8,35.71759,PP
23,1274.06,35.73714,PP
23,1278.32,35.73032,PP
23,1282.57,35.70099,PP
23,1286.82,35.6636,PP
23,1291.06,35.58818,PP
23,1295.3,35.57428,PP
23,1299.53,35.52115,PP
23,1303.76,35.43874,PP
23,1307.99,35.40167,PP
23,1312.2,35.35363,PP
23,1316.42,35.27912,PP
23,1320.63,35.21921,PP
23,1324.83,35.14321,PP
23,1329.03,34.94886,PP
23,1333.23,34.74383,PP
23,1337.42,34.46122,PP
23,1341.6,34.1079,PP
23,1345.78,33.63943,PP
23,1349.96,33.12883,PP
23,1354.13,32.39535,PP
23,1358.29,31.64252,PP
23,1362.46,30.93914,PP
23,1366.61,30.42352,PP
23,1370.76,29.96036,PP
23,1374.91,29.43624,PP
23,1379.05,29.02923,PP
23,1383.18,28.67713,PP
23,1387.32,28.47155,PP
23,1391.44,28.25131,PP
23,1395.56,28.29314,PP
23,1399.68,28.63265,PP
23,1403.79,29.01295,PP
23,1407.9,29.18284,PP
23,1412,29.15472,PP
23,1416.1,29.37967,PP
23,1420.19,29.70565,PP
23,1424.27,29.91826,PP
23,1428.36,30.09024,PP
23,1432.43,30.30794,PP
23,1436.5,30.53254,PP
23,1440.57,30.72374,PP
23,1444.63,30.9666,PP
23,1448.69,31.20066,PP
23,1452.74,31.45249,PP
23,1456.79,31.64224,PP
23,1460.83,31.82618,PP
23,1464.87,31.97534,PP
23,1468.9,32.15341,PP
23,1472.93,32.39439,PP
23,1476.95,32.55605,PP
23,1480.96,32.77919,PP
23,1484.98,32.9102,PP
23,1488.98,33.0791,PP
23,1492.98,33.22873,PP
23,1496.98,33.47946,PP
23,1500.97,33.68409,PP
23,1504.96,33.86415,PP
23,1508.94,34.07841,PP
23,1512.92,34.17058,PP
23,1516.89,34.35484,PP
23,1520.85,34.42046,PP
23,1524.81,34.62397,PP
23,1528.77,34.6911,PP
23,1532.72,34.83053,PP
23,1536.67,34.91001,PP
23,1540.61,34.91638,PP
23,1544.54,35.10468,PP
23,1548.47,35.15991,PP
23,1552.4,35.17149,PP
23,1556.32,35.21801,PP
23,1560.23,35.19227,PP
23,1564.15,35.24425,PP
23,1568.05,35.34613,PP
23,1571.95,35.3013,PP
23,1575.84,35.38557,PP
23,1579.73,35.28096,PP
23,1583.62,35.35096,PP
23,1587.5,35.41853,PP
23,1591.37,35.48381,PP
23,1595.24,35.46127,PP
23,1599.11,35.56029,PP
23,1602.96,35.48949,PP
23,1606.82,35.46079,PP
23,1610.67,35.35491,PP
23,1614.51,35.28558,PP
23,1618.35,35.14698,PP
23,1622.18,35.0164,PP
23,1626.01,34.92769,PP
23,1629.83,34.76996,PP
23,1633.65,34.75266,PP
23,1637.46,34.65016,PP
23,1641.27,34.55834,PP
23,1645.07,34.5797,PP
23,1648.86,34.41724,PP
23,1652.66,34.10145,PP
23,1656.44,33.66707,PP
23,1660.22,33.12986,PP
23,1664,32.34799,PP
23,1667.77,31.47313,PP
23,1671.53,30.42973,PP
23,1675.29,29.20922,PP
23,1679.05,27.80033,PP
23,1682.8,25.88204,PP
23,1686.54,23.42334,PP
