ID,Wavelength,Values,PlasticType
010-backside,1014.48,2.119160433,PP
010-backside,1019.01,2.079062635,PP
010-backside,1023.54,2.047232348,PP
010-backside,1028.07,2.015847404,PP
010-backside,1032.59,1.989129747,PP
010-backside,1037.1,1.960534445,PP
010-backside,1041.62,1.928001604,PP
010-backside,1046.12,1.903752441,PP
010-backside,1050.62,1.876399839,PP
010-backside,1055.12,1.850117236,PP
010-backside,1059.62,1.823081371,PP
010-backside,1064.1,1.802207558,PP
010-backside,1068.59,1.773474832,PP
010-backside,1073.07,1.749244042,PP
010-backside,1077.54,1.720948576,PP
010-backside,1082.01,1.691031942,PP
010-backside,1086.48,1.666122114,PP
010-backside,1090.94,1.637273275,PP
010-backside,1095.39,1.606684953,PP
010-backside,1099.85,1.579963621,PP
010-backside,1104.29,1.55550281,PP
010-backside,1108.73,1.528156821,PP
010-backside,1113.17,1.499854741,PP
010-backside,1117.61,1.467696693,PP
010-backside,1122.03,1.428115523,PP
010-backside,1126.46,1.386854394,PP
010-backside,1130.88,1.338322999,PP
010-backside,1135.29,1.281332286,PP
010-backside,1139.7,1.218527859,PP
010-backside,1144.11,1.14479415,PP
010-backside,1148.51,1.063082475,PP
010-backside,1152.9,0.9937073977,PP
010-backside,1157.29,0.9415412373,PP
010-backside,1161.68,0.883900147,PP
010-backside,1166.06,0.8061524687,PP
010-backside,1170.44,0.7204290303,PP
010-backside,1174.81,0.6347158802,PP
010-backside,1179.18,0.5505687806,PP
010-backside,1183.54,0.4530848989,PP
010-backside,1187.9,0.357364018,PP
010-backside,1192.25,0.3008781747,PP
010-backside,1196.6,0.2887348538,PP
010-backside,1200.94,0.2856931444,PP
010-backside,1205.28,0.2830372523,PP
010-backside,1209.62,0.2780627825,PP
010-backside,1213.95,0.281857754,PP
010-backside,1218.27,0.3195715694,PP
010-backside,1222.59,0.3751454143,PP
010-backside,1226.91,0.4338844301,PP
010-backside,1231.22,0.4879708579,PP
010-backside,1235.52,0.528330277,PP
010-backside,1239.82,0.5519929973,PP
010-backside,1244.12,0.5655700884,PP
010-backside,1248.41,0.574438005,PP
010-backside,1252.7,0.5737472084,PP
010-backside,1256.98,0.5727587815,PP
010-backside,1261.26,0.5669222858,PP
010-backside,1265.53,0.5569931882,PP
010-backside,1269.8,0.5512110744,PP
010-backside,1274.06,0.5402773823,PP
010-backside,1278.32,0.5240480735,PP
010-backside,1282.57,0.5133421972,PP
010-backside,1286.82,0.4957423187,PP
010-backside,1291.06,0.4817639777,PP
010-backside,1295.3,0.4685763782,PP
010-backside,1299.53,0.4532348164,PP
010-backside,1303.76,0.4363330833,PP
010-backside,1307.99,0.4202948459,PP
010-backside,1312.2,0.4006402152,PP
010-backside,1316.42,0.3820842449,PP
010-backside,1320.63,0.3625391128,PP
010-backside,1324.83,0.3408238508,PP
010-backside,1329.03,0.3143200461,PP
010-backside,1333.23,0.2813374519,PP
010-backside,1337.42,0.2437911914,PP
010-backside,1341.6,0.2029754057,PP
010-backside,1345.78,0.158808522,PP
010-backside,1349.96,0.1053724718,PP
010-backside,1354.13,0.04140324447,PP
010-backside,1358.29,-0.03250316422,PP
010-backside,1362.46,-0.09563461702,PP
010-backside,1366.61,-0.1466109907,PP
010-backside,1370.76,-0.1925136844,PP
010-backside,1374.91,-0.2442220084,PP
010-backside,1379.05,-0.291366666,PP
010-backside,1383.18,-0.3298557903,PP
010-backside,1387.32,-0.3558525209,PP
010-backside,1391.44,-0.3887403143,PP
010-backside,1395.56,-0.3953888633,PP
010-backside,1399.68,-0.3825848764,PP
010-backside,1403.79,-0.3668420647,PP
010-backside,1407.9,-0.3648784388,PP
010-backside,1412,-0.3801656188,PP
010-backside,1416.1,-0.3800818413,PP
010-backside,1420.19,-0.3725161497,PP
010-backside,1424.27,-0.3711889385,PP
010-backside,1428.36,-0.373702262,PP
010-backside,1432.43,-0.3767505854,PP
010-backside,1436.5,-0.377927879,PP
010-backside,1440.57,-0.3814641693,PP
010-backside,1444.63,-0.3810658589,PP
010-backside,1448.69,-0.3744503799,PP
010-backside,1452.74,-0.3745025571,PP
010-backside,1456.79,-0.3753440061,PP
010-backside,1460.83,-0.3750103661,PP
010-backside,1464.87,-0.3786877552,PP
010-backside,1468.9,-0.3754630582,PP
010-backside,1472.93,-0.3734942882,PP
010-backside,1476.95,-0.3795762371,PP
010-backside,1480.96,-0.3823813119,PP
010-backside,1484.98,-0.3853693743,PP
010-backside,1488.98,-0.3873903215,PP
