yellowsqueezebottle
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4289,100; 2348,500;19637,500;11,22448
1019,01; 4411,500; 2352,700;20829,700;11,14250
1023,54; 4552,000; 2377,000;21962,200;11,10532
1028,07; 4636,400; 2352,700;23028,700;11,04517
1032,59; 4749,200; 2345,300;24165,800;11,01670
1037,10; 4877,800; 2317,300;25614,800;10,99045
1041,62; 5030,900; 2350,000;26799,400;10,96510
1046,12; 5238,100; 2427,500;28080,800;10,95610
1050,62; 5259,800; 2344,700;28925,600;10,96690
1055,12; 5321,600; 2300,600;29808,600;10,98226
1059,62; 5431,800; 2304,000;30750,500;10,99538
1064,10; 5622,500; 2352,400;31934,300;11,05439
1068,59; 5769,400; 2395,400;32879,900;11,06792
1073,07; 5853,000; 2329,700;33988,100;11,12912
1077,54; 5966,100; 2333,200;34909,400;11,15201
1082,01; 6141,400; 2383,100;36084,400;11,15180
1086,48; 6250,000; 2367,300;37013,200;11,20681
1090,94; 6272,600; 2303,100;37697,100;11,21518
1095,39; 6543,500; 2435,000;38991,300;11,23883
1099,85; 6595,400; 2333,800;40179,000;11,26061
1104,29; 6723,000; 2343,900;41108,400;11,29668
1108,73; 6801,400; 2303,100;42037,300;11,32098
1113,17; 7004,900; 2407,700;42761,500;11,39224
1117,61; 7068,300; 2355,500;43454,900;11,46683
1122,03; 7205,700; 2409,900;44116,600;11,49887
1126,46; 7214,700; 2310,600;44683,800;11,57359
1130,88; 7298,300; 2301,200;45196,100;11,64964
1135,29; 7498,400; 2423,100;45857,400;11,68500
1139,70; 7461,700; 2288,100;46461,700;11,71197
1144,11; 7534,500; 2306,000;47061,800;11,68228
1148,51; 7582,800; 2313,600;47677,600;11,61538
1152,90; 7603,900; 2332,800;47946,200;11,55603
1157,29; 7586,100; 2292,900;48421,700;11,47483
1161,68; 7560,300; 2313,100;48619,300;11,33153
1166,06; 7508,600; 2309,600;48732,900;11,19912
1170,44; 7503,800; 2366,100;48547,000;11,12516
1174,81; 7320,800; 2318,600;47745,300;11,01159
