kl505-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6204,900; 2348,500;19637,500;22,30551
1019,01; 6447,400; 2352,700;20829,700;22,16107
1023,54; 6707,500; 2377,000;21962,200;22,11108
1028,07; 6903,500; 2352,700;23028,700;22,01006
1032,59; 7139,500; 2345,300;24165,800;21,97108
1037,10; 7430,900; 2317,300;25614,800;21,94914
1041,62; 7695,900; 2350,000;26799,400;21,86516
1046,12; 8029,800; 2427,500;28080,800;21,83852
1050,62; 8143,600; 2344,700;28925,600;21,81604
1055,12; 8288,700; 2300,600;29808,600;21,76858
1059,62; 8487,900; 2304,000;30750,500;21,73870
1064,10; 8789,200; 2352,400;31934,300;21,75925
1068,59; 9016,900; 2395,400;32879,900;21,72087
1073,07; 9213,200; 2329,700;33988,100;21,74304
1077,54; 9412,000; 2333,200;34909,400;21,72997
1082,01; 9683,400; 2383,100;36084,400;21,66178
1086,48; 9860,800; 2367,300;37013,200;21,62882
1090,94; 9928,000; 2303,100;37697,100;21,54292
1095,39;10279,300; 2435,000;38991,300;21,45813
1099,85;10412,400; 2333,800;40179,000;21,34643
1104,29;10584,100; 2343,900;41108,400;21,25708
1108,73;10701,700; 2303,100;42037,300;21,13696
1113,17;10903,800; 2407,700;42761,500;21,05403
1117,61;10988,400; 2355,500;43454,900;21,00493
1122,03;11152,700; 2409,900;44116,600;20,96258
1126,46;11195,200; 2310,600;44683,800;20,96750
1130,88;11297,700; 2301,200;45196,100;20,97336
1135,29;11508,400; 2423,100;45857,400;20,91734
1139,70;11486,000; 2288,100;46461,700;20,82217
1144,11;11529,300; 2306,000;47061,800;20,60806
1148,51;11528,500; 2313,600;47677,600;20,31324
1152,90;11501,600; 2332,800;47946,200;20,10111
1157,29;11507,900; 2292,900;48421,700;19,97667
1161,68;11475,800; 2313,100;48619,300;19,78720
1166,06;11345,800; 2309,600;48732,900;19,46479
1170,44;11172,700; 2366,100;48547,000;19,06979
1174,81;10797,400; 2318,600;47745,300;18,66479
1179,18;10600,100; 2329,700;47463,900;18,32402
