kl902
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 3420,100; 2348,500;19637,500; 6,19816
1019,01; 3486,600; 2352,700;20829,700; 6,13682
1023,54; 3565,000; 2377,000;21962,200; 6,06580
1028,07; 3593,700; 2352,700;23028,700; 6,00213
1032,59; 3644,900; 2345,300;24165,800; 5,95587
1037,10; 3696,400; 2317,300;25614,800; 5,91952
1041,62; 3778,200; 2350,000;26799,400; 5,84145
1046,12; 3925,100; 2427,500;28080,800; 5,83785
1050,62; 3893,800; 2344,700;28925,600; 5,82787
1055,12; 3889,000; 2300,600;29808,600; 5,77432
1059,62; 3939,100; 2304,000;30750,500; 5,74798
1064,10; 4057,000; 2352,400;31934,300; 5,76231
1068,59; 4141,800; 2395,400;32879,900; 5,72881
1073,07; 4137,100; 2329,700;33988,100; 5,70907
1077,54; 4185,300; 2333,200;34909,400; 5,68544
1082,01; 4281,500; 2383,100;36084,400; 5,63302
1086,48; 4316,200; 2367,300;37013,200; 5,62520
1090,94; 4288,200; 2303,100;37697,100; 5,60858
1095,39; 4468,300; 2435,000;38991,300; 5,56211
1099,85; 4428,800; 2333,800;40179,000; 5,53571
1104,29; 4487,700; 2343,900;41108,400; 5,53032
1108,73; 4496,500; 2303,100;42037,300; 5,52018
1113,17; 4631,600; 2407,700;42761,500; 5,51101
1117,61; 4624,200; 2355,500;43454,900; 5,52003
1122,03; 4708,000; 2409,900;44116,600; 5,51015
1126,46; 4645,800; 2310,600;44683,800; 5,51103
1130,88; 4669,300; 2301,200;45196,100; 5,52070
1135,29; 4813,000; 2423,100;45857,400; 5,50233
1139,70; 4712,500; 2288,100;46461,700; 5,48835
1144,11; 4737,600; 2306,000;47061,800; 5,43304
1148,51; 4746,000; 2313,600;47677,600; 5,36196
1152,90; 4749,600; 2332,800;47946,200; 5,29844
1157,29; 4715,200; 2292,900;48421,700; 5,25117
1161,68; 4690,200; 2313,100;48619,300; 5,13344
1166,06; 4649,200; 2309,600;48732,900; 5,03971
1170,44; 4667,200; 2366,100;48547,000; 4,98280
