squarepearl-2
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4200,500; 2348,500;19637,500;10,71201
1019,01; 4324,700; 2352,700;20829,700;10,67273
1023,54; 4468,800; 2377,000;21962,200;10,68051
1028,07; 4552,400; 2352,700;23028,700;10,63891
1032,59; 4670,000; 2345,300;24165,800;10,65374
1037,10; 4800,500; 2317,300;25614,800;10,65865
1041,62; 4956,500; 2350,000;26799,400;10,66079
1046,12; 5164,000; 2427,500;28080,800;10,66724
1050,62; 5191,900; 2344,700;28925,600;10,71145
1055,12; 5255,200; 2300,600;29808,600;10,74088
1059,62; 5372,700; 2304,000;30750,500;10,78762
1064,10; 5560,700; 2352,400;31934,300;10,84548
1068,59; 5711,600; 2395,400;32879,900;10,87832
1073,07; 5783,800; 2329,700;33988,100;10,91053
1077,54; 5893,900; 2333,200;34909,400;10,93037
1082,01; 6065,600; 2383,100;36084,400;10,92688
1086,48; 6175,400; 2367,300;37013,200;10,99149
1090,94; 6181,000; 2303,100;37697,100;10,95638
1095,39; 6437,900; 2435,000;38991,300;10,94996
1099,85; 6472,000; 2333,800;40179,000;10,93454
1104,29; 6576,600; 2343,900;41108,400;10,91901
1108,73; 6636,600; 2303,100;42037,300;10,90622
1113,17; 6806,300; 2407,700;42761,500;10,90009
1117,61; 6837,100; 2355,500;43454,900;10,90430
1122,03; 6947,700; 2409,900;44116,600;10,88027
1126,46; 6933,500; 2310,600;44683,800;10,90996
1130,88; 7008,500; 2301,200;45196,100;10,97403
1135,29; 7224,900; 2423,100;45857,400;11,05532
1139,70; 7224,300; 2288,100;46461,700;11,17455
1144,11; 7338,400; 2306,000;47061,800;11,24413
1148,51; 7418,400; 2313,600;47677,600;11,25298
1152,90; 7480,300; 2332,800;47946,200;11,28506
1157,29; 7506,300; 2292,900;48421,700;11,30183
1161,68; 7535,600; 2313,100;48619,300;11,27819
1166,06; 7566,200; 2309,600;48732,900;11,32319
1170,44; 7619,100; 2366,100;48547,000;11,37483
1174,81; 7504,200; 2318,600;47745,300;11,41531
