squarepearl
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;15741,100; 2348,500;19637,500;77,46313
1019,01;16689,400; 2352,700;20829,700;77,59214
1023,54;17585,900; 2377,000;21962,200;77,65507
1028,07;18422,800; 2352,700;23028,700;77,72345
1032,59;19325,100; 2345,300;24165,800;77,81582
1037,10;20485,200; 2317,300;25614,800;77,98219
1041,62;21432,900; 2350,000;26799,400;78,05059
1046,12;22464,300; 2427,500;28080,800;78,10613
1050,62;23121,100; 2344,700;28925,600;78,16289
1055,12;23829,400; 2300,600;29808,600;78,26378
1059,62;24622,300; 2304,000;30750,500;78,45710
1064,10;25615,000; 2352,400;31934,300;78,63795
1068,59;26416,600; 2395,400;32879,900;78,79808
1073,07;27345,900; 2329,700;33988,100;79,01915
1077,54;28102,500; 2333,200;34909,400;79,10468
1082,01;29043,000; 2383,100;36084,400;79,10644
1086,48;29795,400; 2367,300;37013,200;79,16694
1090,94;30334,700; 2303,100;37697,100;79,19873
1095,39;31357,300; 2435,000;38991,300;79,11714
1099,85;32236,800; 2333,800;40179,000;79,01398
1104,29;32889,700; 2343,900;41108,400;78,79839
1108,73;33528,200; 2303,100;42037,300;78,58495
1113,17;34053,300; 2407,700;42761,500;78,42037
1117,61;34505,800; 2355,500;43454,900;78,22572
1122,03;34934,300; 2409,900;44116,600;77,98363
1126,46;35304,100; 2310,600;44683,800;77,86407
1130,88;35762,700; 2301,200;45196,100;78,00811
1135,29;36501,300; 2423,100;45857,400;78,45919
1139,70;37157,300; 2288,100;46461,700;78,93674
1144,11;37748,400; 2306,000;47061,800;79,19063
1148,51;38254,700; 2313,600;47677,600;79,22824
1152,90;38447,300; 2332,800;47946,200;79,17520
1157,29;38775,600; 2292,900;48421,700;79,08877
1161,68;38867,700; 2313,100;48619,300;78,94105
1166,06;38864,400; 2309,600;48732,900;78,74236
1170,44;38682,600; 2366,100;48547,000;78,63965
1174,81;38052,300; 2318,600;47745,300;78,66233
1179,18;37931,600; 2329,700;47463,900;78,88010
1183,54;37731,100; 2345,800;47060,900;79,13501
