brokenwhitepooh
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6130,400; 2348,500;19637,500;21,87460
1019,01; 6348,100; 2352,700;20829,700;21,62364
1023,54; 6581,600; 2377,000;21962,200;21,46825
1028,07; 6756,700; 2352,700;23028,700;21,30006
1032,59; 6966,000; 2345,300;24165,800;21,17596
1037,10; 7229,800; 2317,300;25614,800;21,08595
1041,62; 7461,500; 2350,000;26799,400;20,90644
1046,12; 7759,700; 2427,500;28080,800;20,78563
1050,62; 7839,200; 2344,700;28925,600;20,67086
1055,12; 7954,400; 2300,600;29808,600;20,55329
1059,62; 8127,800; 2304,000;30750,500;20,47282
1064,10; 8384,900; 2352,400;31934,300;20,39254
1068,59; 8580,300; 2395,400;32879,900;20,28867
1073,07; 8729,700; 2329,700;33988,100;20,21580
1077,54; 8887,700; 2333,200;34909,400;20,12052
1082,01; 9119,900; 2383,100;36084,400;19,98973
1086,48; 9268,400; 2367,300;37013,200;19,91895
1090,94; 9308,900; 2303,100;37697,100;19,79375
1095,39; 9634,300; 2435,000;38991,300;19,69373
1099,85; 9734,200; 2333,800;40179,000;19,55440
1104,29; 9871,700; 2343,900;41108,400;19,41931
1108,73; 9957,100; 2303,100;42037,300;19,26300
1113,17;10125,800; 2407,700;42761,500;19,12608
1117,61;10160,900; 2355,500;43454,900;18,99152
1122,03;10251,000; 2409,900;44116,600;18,80058
1126,46;10199,900; 2310,600;44683,800;18,61861
1130,88;10199,100; 2301,200;45196,100;18,41221
1135,29;10289,600; 2423,100;45857,400;18,11126
1139,70;10141,200; 2288,100;46461,700;17,77781
1144,11;10072,900; 2306,000;47061,800;17,35395
1148,51; 9968,200; 2313,600;47677,600;16,87373
1152,90; 9858,100; 2332,800;47946,200;16,49800
1157,29; 9784,100; 2292,900;48421,700;16,23975
1161,68; 9698,300; 2313,100;48619,300;15,94862
1166,06; 9539,900; 2309,600;48732,900;15,57472
1170,44; 9363,100; 2366,100;48547,000;15,15129
1174,81; 9011,400; 2318,600;47745,300;14,73319
1179,18; 8819,400; 2329,700;47463,900;14,37868
