white pet tray with circles
Integration time [ms]:  15,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;16791,500; 2348,500;19637,500;83,53867
1019,01;17725,400; 2352,700;20829,700;83,19911
1023,54;18606,300; 2377,000;21962,200;82,86512
1028,07;19420,800; 2352,700;23028,700;82,55030
1032,59;20306,500; 2345,300;24165,800;82,31342
1037,10;21421,900; 2317,300;25614,800;82,00279
1041,62;22332,000; 2350,000;26799,400;81,72798
1046,12;23313,000; 2427,500;28080,800;81,41448
1050,62;23906,900; 2344,700;28925,600;81,11915
1055,12;24532,000; 2300,600;29808,600;80,81794
1059,62;25228,100; 2304,000;30750,500;80,58672
1064,10;26126,700; 2352,400;31934,300;80,36772
1068,59;26808,700; 2395,400;32879,900;80,08431
1073,07;27615,800; 2329,700;33988,100;79,87169
1077,54;28258,800; 2333,200;34909,400;79,58448
1082,01;29063,400; 2383,100;36084,400;79,16698
1086,48;29644,500; 2367,300;37013,200;78,73139
1090,94;30001,600; 2303,100;37697,100;78,25761
1095,39;30830,000; 2435,000;38991,300;77,67471
1099,85;31433,700; 2333,800;40179,000;76,89192
1104,29;31804,300; 2343,900;41108,400;75,99840
1108,73;32113,400; 2303,100;42037,300;75,02429
1113,17;32227,700; 2407,700;42761,500;73,89639
1117,61;32209,100; 2355,500;43454,900;72,63756
1122,03;32148,800; 2409,900;44116,600;71,30485
1126,46;32080,300; 2310,600;44683,800;70,25596
1130,88;32326,500; 2301,200;45196,100;69,99737
1135,29;33061,600; 2423,100;45857,400;70,53987
1139,70;33802,400; 2288,100;46461,700;71,34193
1144,11;34376,300; 2306,000;47061,800;71,65619
1148,51;34706,600; 2313,600;47677,600;71,40684
1152,90;34666,000; 2332,800;47946,200;70,88531
1157,29;34705,100; 2292,900;48421,700;70,26456
1161,68;34585,600; 2313,100;48619,300;69,69369
1166,06;34417,700; 2309,600;48732,900;69,16376
1170,44;34106,300; 2366,100;48547,000;68,73015
1174,81;33430,900; 2318,600;47745,300;68,48902
1179,18;33285,900; 2329,700;47463,900;68,58701
1183,54;33160,100; 2345,800;47060,900;68,91252
