PlasticType,Color,MeasurementType,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650

other,spectralon,PRE,458,510,447,442,469,446,453,456
other,spectralon,VALUE,14706,287645,422741,281473,289494,282837,295853,163185
other,spectralon,POST,459,459,456,464,476,459,460,456
other,spectralon,PRE,446,457,445,453,446,457,466,458
other,spectralon,VALUE,14873,287775,422315,280840,288816,282610,295731,163066
other,spectralon,POST,446,463,441,450,472,467,450,447
other,spectralon,PRE,457,479,455,477,455,446,478,498
other,spectralon,VALUE,14991,288406,422252,280408,287700,281988,295521,163240
other,spectralon,POST,493,434,378,430,463,463,454,452
other,polished alu,PRE,465,466,470,475,457,445,457,460
other,polished alu,VALUE,12747,302136,433532,377747,342246,319647,414826,159360
other,polished alu,POST,472,456,453,480,484,480,456,450
other,polished alu,PRE,449,459,475,456,477,455,471,499
other,polished alu,VALUE,12787,300639,434574,380157,342619,320201,414686,159538
other,polished alu,POST,437,451,470,489,441,473,437,463
other,polished alu,PRE,495,448,461,459,464,463,457,460
other,polished alu,VALUE,12728,301011,433316,380669,342894,318804,415827,159934
other,polished alu,POST,466,482,470,460,459,448,477,453
PET,A01C,PRE,443,437,447,451,441,427,461,443
PET,A01C,VALUE,13815,268415,385929,249802,256307,245732,256876,137437
PET,A01C,POST,396,465,482,459,456,457,487,459
PET,A01C,PRE,463,460,481,444,468,465,459,473
PET,A01C,VALUE,14100,279337,405788,263797,271939,256053,271522,142480
PET,A01C,POST,434,496,439,441,473,485,477,483
PET,A01C,PRE,346,408,466,480,472,470,496,452
PET,A01C,VALUE,14017,262610,376105,239459,241538,230283,241935,132695
PET,A01C,POST,448,483,441,456,491,464,459,430
PET,A01C,PRE,459,443,460,447,452,453,468,445
PET,A01C,VALUE,14149,266628,383974,246791,248723,234197,240564,133551
PET,A01C,POST,442,446,459,447,446,485,457,452
PET,A02C,PRE,450,440,455,451,445,436,468,440
PET,A02C,VALUE,14076,255221,359670,232728,226170,222133,222797,127711
PET,A02C,POST,454,451,447,447,439,444,453,461
PET,A02C,PRE,478,474,465,480,432,480,450,504
PET,A02C,VALUE,13990,246013,338685,212662,201714,205444,206490,122828
PET,A02C,POST,467,478,492,477,475,519,488,465
PET,A02C,PRE,446,440,446,441,442,440,449,455
PET,A02C,VALUE,34273,571232,855774,478644,535721,456541,492746,252881
PET,A02C,POST,456,453,438,452,453,442,450,445
PET,A02C,PRE,410,404,409,411,447,461,441,377
PET,A02C,VALUE,13918,256336,362887,234907,237599,227580,234038,134002
PET,A02C,POST,397,431,416,415,422,426,494,428
PET,A03C,PRE,465,469,465,447,457,453,447,444
PET,A03C,VALUE,14408,291060,423035,288316,294973,283843,304422,158183
PET,A03C,POST,450,455,454,434,444,458,442,463
PET,A03C,PRE,447,454,454,490,466,451,449,470
PET,A03C,VALUE,14016,265270,375866,253314,251690,248736,261961,144996
PET,A03C,POST,471,445,450,457,500,495,439,454
PET,A03C,PRE,454,440,460,449,470,476,455,455
PET,A03C,VALUE,14519,292063,424519,290272,296324,286554,303785,159033
PET,A03C,POST,454,446,448,453,466,447,460,456
PET,A03C,PRE,483,487,479,532,473,469,450,492
PET,A03C,VALUE,14629,283294,405655,274368,275510,264742,288559,154250
PET,A03C,POST,474,456,457,455,431,460,453,463
PET,A04C,PRE,440,449,454,456,446,454,458,443
PET,A04C,VALUE,14199,276633,398584,251022,267116,242516,262288,135267
PET,A04C,POST,439,445,452,454,460,446,430,439
PET,A04C,PRE,460,460,461,443,458,464,454,463
PET,A04C,VALUE,14397,277620,398154,250714,266308,241965,262174,135200
PET,A04C,POST,441,442,457,438,440,454,464,447
PET,A04C,PRE,474,494,474,456,470,471,469,495
PET,A04C,VALUE,14329,276206,396849,249993,265740,241969,261480,134843
PET,A04C,POST,505,490,455,447,461,487,469,463
PET,A04C,PRE,448,450,450,435,446,456,478,448
PET,A04C,VALUE,14421,277616,398201,250849,266431,242132,262614,135352
PET,A04C,POST,439,449,447,440,456,454,451,450
HDPE,B01C,PRE,472,480,467,465,444,446,464,451
HDPE,B01C,VALUE,14512,272890,388570,238980,249501,234054,245125,144224
HDPE,B01C,POST,471,476,454,458,468,454,431,466
HDPE,B01C,PRE,455,445,461,475,452,470,463,450
HDPE,B01C,VALUE,14555,273583,389754,240371,251438,237475,250413,145493
HDPE,B01C,POST,453,428,454,453,452,454,449,463
HDPE,B01C,PRE,452,438,441,451,438,448,473,468
HDPE,B01C,VALUE,14645,273354,390326,240305,251391,235000,246256,144717
HDPE,B01C,POST,445,465,459,441,457,456,462,452
HDPE,B01C,PRE,441,441,450,447,443,445,442,462
HDPE,B01C,VALUE,14532,272647,388558,239324,250362,235435,248393,144934
HDPE,B01C,POST,481,453,449,441,445,475,452,453
HDPE,B02C,PRE,449,431,441,449,447,442,447,458
HDPE,B02C,VALUE,14037,253564,356687,225727,236556,230787,242127,141880
HDPE,B02C,POST,452,442,449,447,439,447,423,448
HDPE,B02C,PRE,498,405,407,466,420,471,389,457
HDPE,B02C,VALUE,14414,263479,371570,234820,246270,241086,257075,147262
HDPE,B02C,POST,449,452,448,460,475,446,496,462
HDPE,B02C,PRE,447,446,454,446,447,458,446,448
HDPE,B02C,VALUE,14345,262140,368883,232025,245505,238122,253210,146393
HDPE,B02C,POST,462,483,469,467,461,480,453,462
HDPE,B02C,PRE,445,452,449,446,440,433,439,454
HDPE,B02C,VALUE,14181,254172,356431,224403,235320,229943,241643,141967
HDPE,B02C,POST,458,446,440,460,482,462,429,471
HDPE,B03C,PRE,428,456,470,474,444,459,477,474
HDPE,B03C,VALUE,11987,226497,352064,212354,220544,210662,217094,133135
HDPE,B03C,POST,471,466,481,467,463,468,464,474
HDPE,B03C,PRE,397,474,491,481,505,387,462,392
HDPE,B03C,VALUE,11957,225141,348761,210679,218196,207148,212687,131517
HDPE,B03C,POST,437,437,470,460,434,462,464,432
HDPE,B03C,PRE,497,466,478,508,467,466,465,469
HDPE,B03C,VALUE,11943,229473,361317,221030,231055,222321,232275,138349
HDPE,B03C,POST,476,466,452,446,494,462,399,365
HDPE,B03C,PRE,477,507,447,464,460,466,463,472
HDPE,B03C,VALUE,11948,228246,355271,217365,225150,219898,229050,136952
HDPE,B03C,POST,459,473,454,477,462,461,461,467
HDPE,B04C,PRE,442,443,457,467,457,465,450,445
HDPE,B04C,VALUE,13820,251809,350513,209112,210201,201095,199568,126080
HDPE,B04C,POST,461,453,487,450,475,452,442,498
HDPE,B04C,PRE,455,464,468,467,493,468,456,471
HDPE,B04C,VALUE,14206,265863,371463,217076,230387,223603,236120,139865
HDPE,B04C,POST,474,456,453,453,455,458,490,475
HDPE,B04C,PRE,495,435,450,452,490,453,447,463
HDPE,B04C,VALUE,14006,251807,350010,207756,210212,203551,203761,127266
HDPE,B04C,POST,450,438,432,445,445,451,424,430
HDPE,B04C,PRE,436,459,448,453,442,436,463,443
HDPE,B04C,VALUE,14114,265051,373199,218933,227767,215969,226373,136880
HDPE,B04C,POST,452,455,464,447,456,460,442,459
HDPE,B05C,PRE,461,447,447,469,470,475,472,462
HDPE,B05C,VALUE,12222,194136,263173,171414,162112,169765,153902,106651
HDPE,B05C,POST,449,459,461,461,448,472,470,459
HDPE,B05C,PRE,497,477,474,471,451,459,436,477
HDPE,B05C,VALUE,12234,194152,263207,171580,162364,169817,154167,106538
HDPE,B05C,POST,460,457,455,454,445,437,452,463
HDPE,B05C,PRE,458,443,454,460,463,474,499,490
HDPE,B05C,VALUE,12251,194758,263778,172525,163081,170348,156906,106889
HDPE,B05C,POST,463,466,473,459,448,461,459,475
HDPE,B05C,PRE,474,481,446,483,501,444,465,458
HDPE,B05C,VALUE,12268,194967,263713,172788,162280,170120,156081,106727
HDPE,B05C,POST,423,472,468,459,451,459,466,461
PVC,C01C,PRE,459,455,493,466,454,463,471,493
PVC,C01C,VALUE,13565,280147,402916,265324,279762,269222,288766,154640
PVC,C01C,POST,467,451,459,462,481,484,496,478
PVC,C01C,PRE,460,482,450,466,457,437,484,459
PVC,C01C,VALUE,13707,281437,404977,266552,276970,263732,282406,153656
PVC,C01C,POST,470,457,450,451,449,449,447,442
PVC,C01C,PRE,459,469,451,445,461,463,498,508
PVC,C01C,VALUE,13721,280820,400604,262817,271504,263022,284243,153409
PVC,C01C,POST,481,466,459,477,487,490,514,453
PVC,C01C,PRE,442,455,501,455,461,449,442,440
PVC,C01C,VALUE,13762,276850,400269,267517,276582,266052,282981,152887
PVC,C01C,POST,445,438,454,444,464,439,446,458
PVC,C02C,PRE,443,443,451,443,444,442,444,443
PVC,C02C,VALUE,14873,276755,397084,242756,261099,239750,250793,143594
PVC,C02C,POST,445,439,458,441,456,455,460,462
PVC,C02C,PRE,463,441,452,447,456,455,448,446
PVC,C02C,VALUE,14687,275465,395504,241906,262723,240517,249894,143021
PVC,C02C,POST,448,452,455,451,477,463,459,456
PVC,C02C,PRE,437,436,446,440,435,442,434,437
PVC,C02C,VALUE,14675,275325,394657,240975,261313,238725,250740,143449
PVC,C02C,POST,455,439,441,438,438,439,435,437
PVC,C02C,PRE,442,455,445,454,468,448,453,464
PVC,C02C,VALUE,14817,276662,395527,243590,261956,238350,251014,143946
PVC,C02C,POST,456,454,449,456,456,470,464,450
