PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14

-1,3361,124476,197384,146473,175962,147263,193951,84287,810.0888888888888,-195.81153846153848,294.89,-191.32666666666665,466.88,-1096.64
-1,3540,124631,196966,145841,175297,147027,193828,84172,803.7222222222222,-196.6346153846154,294.56,-188.46666666666667,468.01,-1096.56
-1,3629,125266,196930,145407,174181,146413,193610,84323,796.2666666666667,-198.16538461538462,287.74,-185.12,471.97,-1092.87
-1,1391,138991,208164,242723,228716,184063,312925,80463,768.5888888888888,132.91923076923078,-140.07,-297.68666666666667,1288.62,-2324.62
-1,1457,137500,209196,245137,229100,184616,312787,80615,796.6222222222223,138.23461538461538,-160.37,-296.56,1281.71,-2321.72
-1,1361,137862,207944,245663,229372,183227,313915,81036,778.6888888888889,145.0730769230769,-162.91,-307.6333333333333,1306.88,-2328.79
1,2509,105280,160558,114800,142798,110169,154957,58544,614.2,-175.9923076923077,279.98,-217.52666666666667,447.88,-964.13
1,2765,116175,180422,128807,158408,120457,169609,63560,713.8555555555556,-198.51923076923077,296.01,-253.00666666666666,491.52,-1060.49
1,2733,99480,150746,104444,127996,94695,140013,53812,569.6222222222223,-178.08461538461538,235.52,-222.00666666666666,453.18,-862.01
1,2811,103500,158608,111797,135214,98607,138657,54660,612.3111111111111,-180.0423076923077,234.17,-244.04666666666665,400.5,-839.97
1,2737,92092,134313,97732,112668,86572,120891,48818,469.1222222222222,-140.69615384615383,149.36,-173.97333333333333,343.19,-720.73
1,2631,82853,113300,77637,88200,69823,104576,43902,338.3,-137.16538461538462,105.63,-122.51333333333334,347.53,-606.74
1,22935,408102,630426,343651,422214,320979,390851,173989,2470.266666666667,-1102.9807692307693,785.63,-674.9,698.72,-2168.62
1,2627,93234,137568,99947,124104,92015,132125,55158,492.6,-144.69615384615383,241.57,-213.92666666666668,401.1,-769.67
1,3063,127914,197670,153329,181462,148267,202533,79288,775.0666666666667,-170.5423076923077,281.33,-221.3,542.66,-1232.45
1,2670,102136,150508,118293,138147,113142,160072,66092,537.4666666666667,-123.90384615384616,198.54,-166.7,469.3,-939.8
1,3178,128936,199159,155274,182796,150971,201883,80136,780.2555555555556,-168.78846153846155,275.22,-212.16666666666666,509.12,-1217.47
1,3263,120138,180281,139327,161998,129157,186663,75330,668.2555555555556,-157.51538461538462,226.71,-218.94,575.06,-1113.33
1,2873,113502,173225,116020,153603,106945,160399,56384,663.5888888888888,-220.01923076923077,375.83,-311.05333333333334,534.54,-1040.15
1,3059,114485,172789,115727,152799,106385,160270,56303,647.8222222222222,-219.46923076923076,370.72,-309.4266666666667,538.85,-1039.67
1,2953,113030,171478,114995,152214,106369,159566,55922,649.4222222222222,-217.2423076923077,372.19,-305.6333333333333,531.97,-1036.44
1,3091,114482,172846,115865,152920,106556,160705,56461,648.4888888888889,-219.15769230769232,370.55,-309.0933333333333,541.49,-1042.44
2,3153,109728,163204,103971,135985,98483,143233,65324,594.1777777777778,-227.81923076923076,320.14,-250.01333333333332,447.5,-779.09
2,3214,110462,164390,105360,137926,101892,148512,66594,599.2,-227.03846153846155,325.66,-240.22666666666666,466.2,-819.18
2,3309,110218,164970,105312,137884,99427,144343,65815,608.3555555555556,-229.45384615384614,325.72,-256.38,449.16,-785.28
2,3184,109516,163202,104333,136858,99854,146501,66034,596.5111111111111,-226.41923076923078,325.25,-246.69333333333333,466.47,-804.67
2,2699,90444,131336,90732,123053,95221,140247,62985,454.35555555555555,-156.16923076923078,323.21,-185.54666666666665,450.26,-772.62
