Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,spec,other,White,regular,2023-01-17 0:00:00,0.2598898,0.1316421,0.2163699,0.2562963,0.257158,0.2288878,0.3456867,0.0636292,0.4615175828,-1.02024053,-0.04130597574,0.4199987269,0.4299547024,0.1033242974,1.452804386,-1.80605319,1.020640184,1.001569001,0.825878309,0.9991076733,1.010860052,0.9715485699,0.9918700177,1.003195969
1,spec,other,White,regular,2023-01-17 0:00:01,0.2592893,0.1309827,0.2156207,0.2553483,0.2572236,0.229322,0.3464303,0.0636505,0.4561522432,-1.023459658,-0.04742730971,0.4107052397,0.4323309098,0.1105739665,1.461048801,-1.799924193,1.008774805,1.004729216,0.9482692431,0.9770000008,1.016446718,1.039716521,0.9974987092,0.9997915371
2,spec,other,White,regular,2023-01-17 0:00:02,0.2592452,0.1312391,0.216365,0.2559804,0.2578768,0.2289704,0.346386,0.0636254,0.4528902613,-1.022837167,-0.04145717408,0.4152517823,0.4371145646,0.1038650763,1.457499172,-1.802326516,1.001560974,1.004118117,0.8289013928,0.9878154755,1.027693497,0.9766334632,0.9950752784,1.001125939
3,spec,other,White,regular,2023-01-17 0:00:03,0.2594962,0.131392,0.2166468,0.2557783,0.2564648,0.2283922,0.3452205,0.0634685,0.4615472844,-1.020727544,-0.03425681113,0.4185280112,0.4264714015,0.1016474821,1.453450532,-1.806660357,1.020705869,1.002047102,0.6849361803,0.9956090833,1.002670516,0.9557816351,0.9923111594,1.003533228
4,alu,other,metal,regular,2023-01-17 0:00:04,0.3892756,0.173099,0.3211718,0.3479199,0.3539077,0.2957891,0.4630003,0.0650066,0.69821267,-1.014465809,0.1586542138,0.3705684321,0.418007314,-0.04244250077,1.28230321,-1.87083753,1.544088318,0.9958999637,-3.172157816,0.8815211578,0.9827707264,-0.3990828098,0.8754641158,1.039181282
5,alu,other,metal,regular,2023-01-17 0:00:05,0.3891795,0.1727894,0.3205392,0.336055,0.3562451,0.2910316,0.4601293,0.0651388,0.720625064,-1.006414265,0.1727973322,0.2966310789,0.4577710606,-0.06270690627,1.286885235,-1.865588599,1.593653039,0.9879957724,-3.454937596,0.7056363938,1.076258675,-0.589627093,0.8785923918,1.036265694
6,alu,other,metal,regular,2023-01-17 0:00:06,0.3780064,0.1697415,0.3176187,0.3428853,0.3587139,0.3009531,0.4603735,0.0650346,0.6301543492,-1.034459535,0.147489225,0.3494394007,0.4759537933,0.01428488213,1.288495809,-1.871357924,1.393578219,1.015527782,-2.948923238,0.8312586783,1.119007825,0.134319392,0.8796919754,1.039470342
7,alu,other,metal,regular,2023-01-17 0:00:07,0.3778561,0.1711324,0.3191521,0.3488623,0.3591527,0.2973541,0.4660152,0.0651127,0.6118551796,-1.024931298,0.1470516113,0.3822895334,0.4637663431,-0.02553949288,1.309876852,-1.864368728,1.353109842,1.006173924,-2.940173521,0.9094037238,1.090354093,-0.2401454296,0.8942894092,1.035588101
8,thorlabs,other,White,calibration,2023-01-17 0:00:08,0.237685,0.1209781,0.1978366,0.2351609,0.2355546,0.2102438,0.3180269,0.0589553,0.4521844132,-1.018642279,-0.05001460298,0.4203738377,0.4253355363,0.1063501101,1.464712473,-1.800299488,1,1,1,1,1,1,1,1
9,thorlabs,other,White,regular,2023-01-17 0:00:09,0.2379018,0.1207917,0.1977451,0.2346498,0.2352248,0.2096483,0.3163985,0.0586422,0.4619458209,-1.019129132,-0.04591031231,0.4208182346,0.4280901787,0.1046277828,1.454682538,-1.805125111,1.021587227,1.000477943,0.9179381535,1.001057147,1.006476398,0.9838051199,0.9931522842,1.002680456
