Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
1,thorlabs,reference,white,regular,2023-03-01 0:00:01,0.7679197,0.2566328,0.6000328,0.6129155,0.4230439,0.3617283,0.2227463,0.1153267,,,,,,,,,,,,,,,,
2,thorlabs,reference,white,regular,2023-03-01 0:00:02,0.7679073,0.2566788,0.6000019,0.6128785,0.4231035,0.3617034,0.2227968,0.1153386,,,,,,,,,,,,,,,,
3,spectralon,reference,white,regular,2023-03-01 0:00:03,0.8614876,0.2884621,0.6732365,0.6824896,0.4716581,0.4034141,0.2487308,0.1292117,,,,,,,,,,,,,,,,
4,spectralon,reference,white,regular,2023-03-01 0:00:04,0.8615225,0.2884299,0.6733105,0.6823969,0.4716668,0.4033892,0.2486615,0.1292576,,,,,,,,,,,,,,,,
5,spectralon,reference,white,regular,2023-03-01 0:00:05,0.8616723,0.2884278,0.6732768,0.682478,0.4715726,0.4034028,0.2486719,0.1292016,,,,,,,,,,,,,,,,
6,spectralon,reference,white,regular,2023-03-01 0:00:06,0.8618061,0.2883794,0.6733451,0.6824234,0.471633,0.4033569,0.2486071,0.129208,,,,,,,,,,,,,,,,
7,paper,reference,white,regular,2023-03-01 0:00:07,0.8582796,0.2809737,0.6477255,0.6528593,0.3971365,0.3229374,0.2048081,0.1103066,,,,,,,,,,,,,,,,
8,paper,reference,white,regular,2023-03-01 0:00:08,0.858455,0.2809193,0.6477859,0.6529475,0.3970845,0.3229386,0.2047549,0.1102682,,,,,,,,,,,,,,,,
9,paper,reference,white,regular,2023-03-01 0:00:09,0.8585821,0.2808383,0.6478047,0.6529179,0.3970495,0.3229095,0.2046968,0.1103006,,,,,,,,,,,,,,,,
10,paper,reference,white,regular,2023-03-01 0:00:10,0.858673,0.280874,0.6478318,0.6529073,0.3971298,0.3228466,0.2046864,0.1102927,,,,,,,,,,,,,,,,
11,c01c,PVC,transparent,regular,2023-03-01 0:00:11,0.8019999,0.2564821,0.5611762,0.6090781,0.4046627,0.3512745,0.2123784,0.1100431,,,,,,,,,,,,,,,,
