Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,,unknown,,calibration,2023-04-18 10:04:02,0.7740158,0.2587322,0.5999098,0.6096789,0.4067666,0.3456871,0.211025,0.1069714,1.680966314,-0.7256254579,0.8678178514,0.9134436693,-0.03424236522,-0.3195093951,-0.948438206,-1.43441241,1,1,1,1,1,1,1,1
1,ref,reference,white,regular,2023-04-18 10:04:29,0.7736707,0.2586812,0.6000647,0.6097263,0.4067457,0.3457343,0.2109656,0.1069482,1.67978476,-0.7258404439,0.8688343053,0.9139656885,-0.03419975416,-0.3191969464,-0.9487301338,-1.434617475,-1.605280842,-0.483110735,1.571017748,0.7568938646,0.174353098,1.022135736,-0.8637287426,-0.5722801274
2,ref,reference,white,regular,2023-04-18 10:04:30,0.7737777,0.2586969,0.600188,0.6097973,0.4068193,0.3457581,0.2109622,0.1069433,1.679713491,-0.7258599105,0.8690003659,0.9138785219,-0.03408629821,-0.3192594178,-0.948794496,-1.434592256,-1.134673242,-0.5003004704,1.723836263,0.7249799793,0.4854261658,0.7664389251,-1.097535592,-0.9681720287
3,ref,reference,white,regular,2023-04-18 10:04:31,0.7738445,0.2586379,0.6002384,0.609842,0.4068013,0.3457655,0.2109382,0.1069546,1.679739236,-0.7260782884,0.8690652313,0.9139103656,-0.03421194933,-0.3192257618,-0.9488176209,-1.434381213,-0.6867406299,-1.137783028,1.736344791,0.8534202531,0.2793279918,0.7251137054,-1.285412762,-0.4842703219
4,231_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:05:38,0.5480049,0.1860003,0.326448,0.3763447,0.2211327,0.2050866,0.1297721,0.0680967,2.024249472,-0.4991747101,0.4798435747,0.8276583245,-0.2542774139,-0.3661299063,-0.8911244246,-1.321044917,1.400597358,1.578136044,-1.270728386,-0.0785209455,-1.279312068,-0.4700084855,-0.1163908053,0.2362272889
5,231_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:05:51,0.4953695,0.165398,0.3037644,0.3484257,0.208866,0.188617,0.1213944,0.0601581,1.98163872,-0.5442753884,0.5149119713,0.8567918238,-0.2115301833,-0.3665351906,-0.8811205827,-1.34988117,1.507907525,1.492227009,-1.339843864,0.04814620385,-1.187949635,-0.5028965134,0.1284814695,-0.1460721952
6,231_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:06:00,0.5698123,0.1886323,0.331358,0.3925364,0.2351964,0.2248278,0.1372975,0.0700331,2.029308682,-0.5397062839,0.422213175,0.8345334047,-0.2258811362,-0.2957617401,-0.8856842194,-1.339021882,1.455506445,1.33618268,-1.628457561,-0.09352595377,-1.194570061,0.01616127356,0.02022904887,0.08847412759
7,214_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:08:33,0.7770267,0.2657272,0.5087051,0.5444581,0.3089777,0.2817496,0.1734023,0.0890225,1.937836113,-0.4882938998,0.6646428341,0.8342917901,-0.2830691028,-0.4122671767,-0.9263780576,-1.3267625,1.459101901,1.721245168,-0.3068219803,0.2034616372,-1.307735317,-0.6797465287,-0.6041784559,-0.4853264241
8,214_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:09:03,0.7979373,0.2565174,0.5015669,0.5491418,0.3166223,0.2733037,0.1697695,0.0899612,1.976598165,-0.5203863572,0.6097619966,0.8291735641,-0.2431874493,-0.4429693076,-0.9204606132,-1.288529999,1.800668374,1.354294769,-0.4029878354,0.3280693711,-1.055396334,-0.9171620463,-0.7600678759,-0.3474184231
9,214_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:09:16,0.8212448,0.2596426,0.5021685,0.5587926,0.3239806,0.2737441,0.1745854,0.0910734,2.002716116,-0.5214153892,0.568621767,0.8231198348,-0.2322470548,-0.4580359359,-0.9037065524,-1.279052786,1.884453899,1.266577707,-0.5220071247,0.3318799092,-0.9582369019,-1.007601224,-0.6268043189,-0.3682619464
