012_PP_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8129,000; 2453,000; 7571,000;110,90270
1019,01; 8599,000; 2571,000; 8072,000;109,58008
1023,54; 9078,000; 2760,000; 8557,000;108,98741
1028,07; 9281,000; 2645,000; 8728,000;109,09091
1032,59; 9505,000; 2542,000; 8976,000;108,22195
1037,10;10008,000; 2552,000; 9493,000;107,41968
1041,62;10391,000; 2645,000; 9874,000;107,15175
1046,12;11163,000; 3172,000;10692,000;106,26330
1050,62;10898,000; 2658,000;10426,000;106,07621
1055,12;10994,000; 2509,000;10544,000;105,60050
1059,62;11008,000; 2352,000;10536,000;105,76735
1064,10;11679,000; 2726,000;11217,000;105,44106
1068,59;12103,000; 2932,000;11644,000;105,26860
1073,07;12269,000; 2693,000;11791,000;105,25390
1077,54;12399,000; 2612,000;11902,000;105,34984
1082,01;12816,000; 2824,000;12356,000;104,82585
1086,48;13115,000; 2801,000;12632,000;104,91303
1090,94;12821,000; 2380,000;12314,000;105,10368
1095,39;14170,000; 3344,000;13669,000;104,85230
1099,85;13797,000; 2612,000;13309,000;104,56203
1104,29;14114,000; 2682,000;13632,000;104,40183
1108,73;13963,000; 2312,000;13510,000;104,04537
1113,17;14766,000; 3042,000;14359,000;103,59636
1117,61;14599,000; 2646,000;14198,000;103,47126
1122,03;15086,000; 3046,000;14722,000;103,11751
1126,46;14743,000; 2527,000;14400,000;102,88891
1130,88;14757,000; 2466,000;14495,000;102,17807
1135,29;15345,000; 3111,000;15219,000;101,04063
1139,70;14809,000; 2407,000;14793,000;100,12918
1144,11;14769,000; 2489,000;14967,000;98,41321
1148,51;14677,000; 2565,000;15172,000;96,07361
1152,90;14654,000; 2579,000;15293,000;94,97404
1157,29;14360,000; 2339,000;15111,000;94,11995
1161,68;14582,000; 2547,000;15452,000;93,25843
1166,06;14330,000; 2534,000;15403,000;91,66213
1170,44;14242,000; 2810,000;15520,000;89,94493
1174,81;13475,000; 2521,000;14948,000;88,14678
1179,18;13344,000; 2667,000;15071,000;86,07707
