042white_PP_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9452,000; 2453,000; 7571,000;136,75264
1019,01;10001,000; 2571,000; 8072,000;135,06635
1023,54;10585,000; 2760,000; 8557,000;134,98361
1028,07;10841,000; 2645,000; 8728,000;134,73615
1032,59;11165,000; 2542,000; 8976,000;134,02238
1037,10;11756,000; 2552,000; 9493,000;132,60337
1041,62;12230,000; 2645,000; 9874,000;132,59095
1046,12;13118,000; 3172,000;10692,000;132,26064
1050,62;12904,000; 2658,000;10426,000;131,90010
1055,12;13098,000; 2509,000;10544,000;131,78594
1059,62;13132,000; 2352,000;10536,000;131,72043
1064,10;13883,000; 2726,000;11217,000;131,39795
1068,59;14361,000; 2932,000;11644,000;131,18687
1073,07;14602,000; 2693,000;11791,000;130,89690
1077,54;14783,000; 2612,000;11902,000;131,01184
1082,01;15294,000; 2824,000;12356,000;130,82249
1086,48;15651,000; 2801,000;12632,000;130,70898
1090,94;15408,000; 2380,000;12314,000;131,14556
1095,39;16843,000; 3344,000;13669,000;130,74092
1099,85;16553,000; 2612,000;13309,000;130,32626
1104,29;16937,000; 2682,000;13632,000;130,18265
1108,73;16855,000; 2312,000;13510,000;129,87141
1113,17;17684,000; 3042,000;14359,000;129,38058
1117,61;17533,000; 2646,000;14198,000;128,86946
1122,03;18092,000; 3046,000;14722,000;128,86262
1126,46;17754,000; 2527,000;14400,000;128,24897
1130,88;17811,000; 2466,000;14495,000;127,56671
1135,29;18426,000; 3111,000;15219,000;126,48662
1139,70;17896,000; 2407,000;14793,000;125,05248
1144,11;17868,000; 2489,000;14967,000;123,24892
1148,51;17787,000; 2565,000;15172,000;120,74244
1152,90;17711,000; 2579,000;15293,000;119,01840
1157,29;17377,000; 2339,000;15111,000;117,74194
1161,68;17576,000; 2547,000;15452,000;116,45874
1166,06;17304,000; 2534,000;15403,000;114,77193
1170,44;17149,000; 2810,000;15520,000;112,81668
1174,81;16291,000; 2521,000;14948,000;110,80711
1179,18;16104,000; 2667,000;15071,000;108,32796
