114_PET_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8481,000; 2453,000; 7571,000;117,78038
1019,01; 8991,000; 2571,000; 8072,000;116,70605
1023,54; 9498,000; 2760,000; 8557,000;116,23253
1028,07; 9711,000; 2645,000; 8728,000;116,15979
1032,59; 9962,000; 2542,000; 8976,000;115,32484
1037,10;10452,000; 2552,000; 9493,000;113,81645
1041,62;10871,000; 2645,000; 9874,000;113,79167
1046,12;11709,000; 3172,000;10692,000;113,52394
1050,62;11453,000; 2658,000;10426,000;113,22091
1055,12;11571,000; 2509,000;10544,000;112,78158
1059,62;11596,000; 2352,000;10536,000;112,95210
1064,10;12283,000; 2726,000;11217,000;112,55447
1068,59;12700,000; 2932,000;11644,000;112,12121
1073,07;12852,000; 2693,000;11791,000;111,66190
1077,54;13009,000; 2612,000;11902,000;111,91604
1082,01;13466,000; 2824,000;12356,000;111,64499
1086,48;13747,000; 2801,000;12632,000;111,34167
1090,94;13494,000; 2380,000;12314,000;111,87840
1095,39;14828,000; 3344,000;13669,000;111,22518
1099,85;14490,000; 2612,000;13309,000;111,04048
1104,29;14847,000; 2682,000;13632,000;111,09589
1108,73;14697,000; 2312,000;13510,000;110,60011
1113,17;15515,000; 3042,000;14359,000;110,21472
1117,61;15298,000; 2646,000;14198,000;109,52216
1122,03;15825,000; 3046,000;14722,000;109,44673
1126,46;15433,000; 2527,000;14400,000;108,70041
1130,88;15542,000; 2466,000;14495,000;108,70397
1135,29;16333,000; 3111,000;15219,000;109,20053
1139,70;15947,000; 2407,000;14793,000;109,31697
1144,11;16172,000; 2489,000;14967,000;109,65700
1148,51;16322,000; 2565,000;15172,000;109,12192
1152,90;16467,000; 2579,000;15293,000;109,23392
1157,29;16234,000; 2339,000;15111,000;108,79267
1161,68;16605,000; 2547,000;15452,000;108,93452
1166,06;16520,000; 2534,000;15403,000;108,67977
1170,44;16611,000; 2810,000;15520,000;108,58379
1174,81;16017,000; 2521,000;14948,000;108,60224
1179,18;16149,000; 2667,000;15071,000;108,69074
