227_HDPE_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7203,000; 2453,000; 7571,000;92,80969
1019,01; 7618,000; 2571,000; 8072,000;91,74696
1023,54; 8036,000; 2760,000; 8557,000;91,01259
1028,07; 8163,000; 2645,000; 8728,000;90,71182
1032,59; 8316,000; 2542,000; 8976,000;89,74200
1037,10; 8683,000; 2552,000; 9493,000;88,33021
1041,62; 9027,000; 2645,000; 9874,000;88,28330
1046,12; 9766,000; 3172,000;10692,000;87,68617
1050,62; 9495,000; 2658,000;10426,000;88,01493
1055,12; 9568,000; 2509,000;10544,000;87,85314
1059,62; 9553,000; 2352,000;10536,000;87,98876
1064,10;10179,000; 2726,000;11217,000;87,77529
1068,59;10563,000; 2932,000;11644,000;87,59183
1073,07;10653,000; 2693,000;11791,000;87,49176
1077,54;10752,000; 2612,000;11902,000;87,62110
1082,01;11152,000; 2824,000;12356,000;87,36886
1086,48;11395,000; 2801,000;12632,000;87,41735
1090,94;11093,000; 2380,000;12314,000;87,70888
1095,39;12360,000; 3344,000;13669,000;87,32203
1099,85;11936,000; 2612,000;13309,000;87,16463
1104,29;12242,000; 2682,000;13632,000;87,30594
1108,73;12063,000; 2312,000;13510,000;87,07805
1113,17;12860,000; 3042,000;14359,000;86,75444
1117,61;12630,000; 2646,000;14198,000;86,42659
1122,03;13142,000; 3046,000;14722,000;86,46797
1126,46;12763,000; 2527,000;14400,000;86,21241
1130,88;12773,000; 2466,000;14495,000;85,68460
1135,29;13424,000; 3111,000;15219,000;85,17509
1139,70;12855,000; 2407,000;14793,000;84,35330
1144,11;12881,000; 2489,000;14967,000;83,28258
1148,51;12867,000; 2565,000;15172,000;81,71651
1152,90;12776,000; 2579,000;15293,000;80,20293
1157,29;12324,000; 2339,000;15111,000;78,17883
1161,68;12315,000; 2547,000;15452,000;75,69159
1166,06;11964,000; 2534,000;15403,000;73,27687
1170,44;12003,000; 2810,000;15520,000;72,32887
1174,81;11416,000; 2521,000;14948,000;71,57802
1179,18;11332,000; 2667,000;15071,000;69,85650
