305_PS_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8108,000; 2453,000; 7571,000;110,49238
1019,01; 8581,000; 2571,000; 8072,000;109,25286
1023,54; 9070,000; 2760,000; 8557,000;108,84940
1028,07; 9246,000; 2645,000; 8728,000;108,51554
1032,59; 9485,000; 2542,000; 8976,000;107,91110
1037,10; 9930,000; 2552,000; 9493,000;106,29592
1041,62;10308,000; 2645,000; 9874,000;106,00360
1046,12;11067,000; 3172,000;10692,000;104,98670
1050,62;10825,000; 2658,000;10426,000;105,13646
1055,12;10940,000; 2509,000;10544,000;104,92844
1059,62;10901,000; 2352,000;10536,000;104,45992
1064,10;11600,000; 2726,000;11217,000;104,51066
1068,59;12013,000; 2932,000;11644,000;104,23554
1073,07;12158,000; 2693,000;11791,000;104,03385
1077,54;12274,000; 2612,000;11902,000;104,00431
1082,01;12706,000; 2824,000;12356,000;103,67184
1086,48;12992,000; 2801,000;12632,000;103,66189
1090,94;12706,000; 2380,000;12314,000;103,94604
1095,39;14037,000; 3344,000;13669,000;103,56416
1099,85;13645,000; 2612,000;13309,000;103,14107
1104,29;13915,000; 2682,000;13632,000;102,58447
1108,73;13726,000; 2312,000;13510,000;101,92892
1113,17;14443,000; 3042,000;14359,000;100,74225
1117,61;14114,000; 2646,000;14198,000;99,27285
1122,03;14442,000; 3046,000;14722,000;97,60192
1126,46;13789,000; 2527,000;14400,000;94,85387
1130,88;13451,000; 2466,000;14495,000;91,32097
1135,29;13695,000; 3111,000;15219,000;87,41328
1139,70;12841,000; 2407,000;14793,000;84,24027
1144,11;12905,000; 2489,000;14967,000;83,47492
1148,51;13272,000; 2565,000;15172,000;84,92901
1152,90;13791,000; 2579,000;15293,000;88,18625
1157,29;13997,000; 2339,000;15111,000;91,27780
1161,68;14562,000; 2547,000;15452,000;93,10345
1166,06;14658,000; 2534,000;15403,000;94,21089
1170,44;14824,000; 2810,000;15520,000;94,52400
1174,81;14297,000; 2521,000;14948,000;94,76141
1179,18;14396,000; 2667,000;15071,000;94,55821
