3mm_PC_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;12294,000; 2159,000; 6686,000;223,87895
1019,01;13095,000; 2263,000; 7134,000;222,37734
1023,54;13861,000; 2460,000; 7582,000;222,58883
1028,07;14274,000; 2357,000; 7740,000;221,38213
1032,59;14837,000; 2222,000; 7947,000;220,34934
1037,10;15707,000; 2251,000; 8409,000;218,51250
1041,62;16389,000; 2335,000; 8775,000;218,22981
1046,12;17444,000; 2824,000; 9555,000;217,20398
1050,62;17355,000; 2300,000; 9240,000;216,93084
1055,12;17758,000; 2181,000; 9387,000;216,16708
1059,62;17927,000; 2009,000; 9358,000;216,60090
1064,10;18874,000; 2401,000;10031,000;215,89777
1068,59;19472,000; 2570,000;10411,000;215,55924
1073,07;19973,000; 2356,000;10516,000;215,89461
1077,54;20235,000; 2278,000;10631,000;214,97666
1082,01;20907,000; 2486,000;11025,000;215,72784
1086,48;21417,000; 2488,000;11325,000;214,20165
1090,94;21190,000; 2081,000;10975,000;214,85271
1095,39;22752,000; 3026,000;12290,000;212,93178
1099,85;22529,000; 2345,000;11921,000;210,77694
1104,29;22859,000; 2403,000;12226,000;208,24595
1108,73;22622,000; 2060,000;12064,000;205,53778
1113,17;23115,000; 2768,000;12897,000;200,87867
1117,61;22488,000; 2351,000;12709,000;194,41012
1122,03;22296,000; 2714,000;13178,000;187,13685
1126,46;21271,000; 2237,000;12873,000;178,95825
1130,88;20577,000; 2154,000;12946,000;170,70979
1135,29;21085,000; 2780,000;13624,000;168,80302
1139,70;21352,000; 2109,000;13204,000;173,43849
1144,11;22382,000; 2181,000;13375,000;180,46275
1148,51;23339,000; 2244,000;13522,000;187,04558
1152,90;24156,000; 2301,000;13707,000;191,60968
1157,29;24364,000; 2006,000;13470,000;195,02791
1161,68;24786,000; 2262,000;13824,000;194,81059
1166,06;24545,000; 2248,000;13803,000;192,96408
1170,44;24317,000; 2494,000;13961,000;190,31133
1174,81;23202,000; 2196,000;13387,000;187,70441
1179,18;23052,000; 2339,000;13505,000;185,50063
