4mm_PMMA_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;12792,000; 2159,000; 6686,000;234,87961
1019,01;13625,000; 2263,000; 7134,000;233,25806
1023,54;14398,000; 2460,000; 7582,000;233,07302
1028,07;14853,000; 2357,000; 7740,000;232,13821
1032,59;15454,000; 2222,000; 7947,000;231,12664
1037,10;16402,000; 2251,000; 8409,000;229,79864
1041,62;17116,000; 2335,000; 8775,000;229,51863
1046,12;18295,000; 2824,000; 9555,000;229,84698
1050,62;18250,000; 2300,000; 9240,000;229,82709
1055,12;18697,000; 2181,000; 9387,000;229,19789
1059,62;18949,000; 2009,000; 9358,000;230,50755
1064,10;19904,000; 2401,000;10031,000;229,39712
1068,59;20573,000; 2570,000;10411,000;229,60082
1073,07;21079,000; 2356,000;10516,000;229,44853
1077,54;21452,000; 2278,000;10631,000;229,54627
1082,01;22164,000; 2486,000;11025,000;230,44853
1086,48;22636,000; 2488,000;11325,000;227,99593
1090,94;22480,000; 2081,000;10975,000;229,35687
1095,39;24079,000; 3026,000;12290,000;227,25604
1099,85;23892,000; 2345,000;11921,000;225,01044
1104,29;24276,000; 2403,000;12226,000;222,67128
1108,73;24136,000; 2060,000;12064,000;220,67173
1113,17;24782,000; 2768,000;12897,000;217,33636
1117,61;24429,000; 2351,000;12709,000;213,14926
1122,03;24460,000; 2714,000;13178,000;207,81728
1126,46;23766,000; 2237,000;12873,000;202,41632
1130,88;23324,000; 2154,000;12946,000;196,16383
1135,29;23475,000; 2780,000;13624,000;190,84286
1139,70;22686,000; 2109,000;13204,000;185,46192
1144,11;22406,000; 2181,000;13375,000;180,67715
1148,51;22039,000; 2244,000;13522,000;175,51871
1152,90;21630,000; 2301,000;13707,000;169,46344
1157,29;20777,000; 2006,000;13470,000;163,73866
1161,68;20525,000; 2262,000;13824,000;157,95710
1166,06;20111,000; 2248,000;13803,000;154,59109
1170,44;19997,000; 2494,000;13961,000;152,63800
1174,81;19363,000; 2196,000;13387,000;153,40005
1179,18;20034,000; 2339,000;13505,000;158,47215
