4mm_PS_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;13400,000; 2159,000; 6686,000;248,31014
1019,01;14268,000; 2263,000; 7134,000;246,45863
1023,54;15080,000; 2460,000; 7582,000;246,38813
1028,07;15600,000; 2357,000; 7740,000;246,01523
1032,59;16174,000; 2222,000; 7947,000;243,70306
1037,10;17168,000; 2251,000; 8409,000;242,23774
1041,62;17922,000; 2335,000; 8775,000;242,03416
1046,12;19054,000; 2824,000; 9555,000;241,12316
1050,62;19026,000; 2300,000; 9240,000;241,00865
1055,12;19525,000; 2181,000; 9387,000;240,68832
1059,62;19720,000; 2009,000; 9358,000;240,99878
1064,10;20775,000; 2401,000;10031,000;240,81258
1068,59;21409,000; 2570,000;10411,000;240,26272
1073,07;21973,000; 2356,000;10516,000;240,40441
1077,54;22336,000; 2278,000;10631,000;240,12929
1082,01;23046,000; 2486,000;11025,000;240,77761
1086,48;23637,000; 2488,000;11325,000;239,32330
1090,94;23436,000; 2081,000;10975,000;240,10569
1095,39;25104,000; 3026,000;12290,000;238,32038
1099,85;25020,000; 2345,000;11921,000;236,78989
1104,29;25443,000; 2403,000;12226,000;234,55156
1108,73;25366,000; 2060,000;12064,000;232,96681
1113,17;25974,000; 2768,000;12897,000;229,10455
1117,61;25418,000; 2351,000;12709,000;222,69743
1122,03;25214,000; 2714,000;13178,000;215,02294
1126,46;23815,000; 2237,000;12873,000;202,87702
1130,88;22193,000; 2154,000;12946,000;185,68384
1135,29;20847,000; 2780,000;13624,000;166,60826
1139,70;18817,000; 2109,000;13204,000;150,59036
1144,11;18579,000; 2181,000;13375,000;146,48919
1148,51;19789,000; 2244,000;13522,000;155,56836
1152,90;22020,000; 2301,000;13707,000;172,88269
1157,29;24057,000; 2006,000;13470,000;192,34997
1161,68;25990,000; 2262,000;13824,000;205,22401
1166,06;26723,000; 2248,000;13803,000;211,81307
1170,44;27162,000; 2494,000;13961,000;215,12165
1174,81;26448,000; 2196,000;13387,000;216,70986
1179,18;26572,000; 2339,000;13505,000;217,02490
