923_ABS_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;11442,000; 2159,000; 6686,000;205,05854
1019,01;12198,000; 2263,000; 7134,000;203,96223
1023,54;12933,000; 2460,000; 7582,000;204,47091
1028,07;13353,000; 2357,000; 7740,000;204,27271
1032,59;13912,000; 2222,000; 7947,000;204,19214
1037,10;14765,000; 2251,000; 8409,000;203,21533
1041,62;15409,000; 2335,000; 8775,000;203,01242
1046,12;16448,000; 2824,000; 9555,000;202,40677
1050,62;16352,000; 2300,000; 9240,000;202,47839
1055,12;16738,000; 2181,000; 9387,000;202,01221
1059,62;16836,000; 2009,000; 9358,000;201,75534
1064,10;17756,000; 2401,000;10031,000;201,24509
1068,59;18332,000; 2570,000;10411,000;201,02028
1073,07;18720,000; 2356,000;10516,000;200,53922
1077,54;19023,000; 2278,000;10631,000;200,46690
1082,01;19616,000; 2486,000;11025,000;200,60897
1086,48;20124,000; 2488,000;11325,000;199,56999
1090,94;19924,000; 2081,000;10975,000;200,61839
1095,39;21520,000; 3026,000;12290,000;199,63299
1099,85;21367,000; 2345,000;11921,000;198,64244
1104,29;21868,000; 2403,000;12226,000;198,15739
1108,73;21886,000; 2060,000;12064,000;198,18073
1113,17;22710,000; 2768,000;12897,000;196,88024
1117,61;22518,000; 2351,000;12709,000;194,69975
1122,03;22911,000; 2714,000;13178,000;193,01414
1126,46;22456,000; 2237,000;12873,000;190,09966
1130,88;22245,000; 2154,000;12946,000;186,16568
1135,29;22571,000; 2780,000;13624,000;182,50646
1139,70;21983,000; 2109,000;13204,000;179,12573
1144,11;22155,000; 2181,000;13375,000;178,43488
1148,51;22530,000; 2244,000;13522,000;179,87232
1152,90;23024,000; 2301,000;13707,000;181,68508
1157,29;23055,000; 2006,000;13470,000;183,60956
1161,68;23479,000; 2262,000;13824,000;183,50631
1166,06;23437,000; 2248,000;13803,000;183,37516
1170,44;23375,000; 2494,000;13961,000;182,09645
1174,81;22584,000; 2196,000;13387,000;182,18211
1179,18;22603,000; 2339,000;13505,000;181,47949
