927_PVC_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 3281,000; 2159,000; 6686,000;24,78463
1019,01; 3442,000; 2263,000; 7134,000;24,20448
1023,54; 3707,000; 2460,000; 7582,000;24,34596
1028,07; 3644,000; 2357,000; 7740,000;23,90860
1032,59; 3592,000; 2222,000; 7947,000;23,93013
1037,10; 3686,000; 2251,000; 8409,000;23,30302
1041,62; 3825,000; 2335,000; 8775,000;23,13665
1046,12; 4353,000; 2824,000; 9555,000;22,71579
1050,62; 3874,000; 2300,000; 9240,000;22,68012
1055,12; 3808,000; 2181,000; 9387,000;22,57841
1059,62; 3643,000; 2009,000; 9358,000;22,23432
1064,10; 4078,000; 2401,000;10031,000;21,97903
1068,59; 4304,000; 2570,000;10411,000;22,11453
1073,07; 4151,000; 2356,000;10516,000;21,99755
1077,54; 4106,000; 2278,000;10631,000;21,88435
1082,01; 4359,000; 2486,000;11025,000;21,93465
1086,48; 4413,000; 2488,000;11325,000;21,78341
1090,94; 4002,000; 2081,000;10975,000;21,59883
1095,39; 5051,000; 3026,000;12290,000;21,85881
1099,85; 4403,000; 2345,000;11921,000;21,49123
1104,29; 4517,000; 2403,000;12226,000;21,52092
1108,73; 4202,000; 2060,000;12064,000;21,41144
1113,17; 4941,000; 2768,000;12897,000;21,45325
1117,61; 4585,000; 2351,000;12709,000;21,56787
1122,03; 4945,000; 2714,000;13178,000;21,32072
1126,46; 4490,000; 2237,000;12873,000;21,18278
1130,88; 4437,000; 2154,000;12946,000;21,15456
1135,29; 5114,000; 2780,000;13624,000;21,52342
1139,70; 4494,000; 2109,000;13204,000;21,49617
1144,11; 4610,000; 2181,000;13375,000;21,69912
1148,51; 4703,000; 2244,000;13522,000;21,80351
1152,90; 4742,000; 2301,000;13707,000;21,40102
1157,29; 4469,000; 2006,000;13470,000;21,48465
1161,68; 4747,000; 2262,000;13824,000;21,49282
1166,06; 4751,000; 2248,000;13803,000;21,66162
1170,44; 4975,000; 2494,000;13961,000;21,63600
1174,81; 4623,000; 2196,000;13387,000;21,68707
