A_ASA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7246,000; 2159,000; 6686,000;112,37022
1019,01; 7684,000; 2263,000; 7134,000;111,29132
1023,54; 8156,000; 2460,000; 7582,000;111,20656
1028,07; 8317,000; 2357,000; 7740,000;110,71893
1032,59; 8533,000; 2222,000; 7947,000;110,23581
1037,10; 8981,000; 2251,000; 8409,000;109,28873
1041,62; 9344,000; 2335,000; 8775,000;108,83540
1046,12;10110,000; 2824,000; 9555,000;108,24543
1050,62; 9808,000; 2300,000; 9240,000;108,18444
1055,12; 9948,000; 2181,000; 9387,000;107,78518
1059,62; 9908,000; 2009,000; 9358,000;107,48401
1064,10;10570,000; 2401,000;10031,000;107,06422
1068,59;10975,000; 2570,000;10411,000;107,19296
1073,07;11072,000; 2356,000;10516,000;106,81373
1077,54;11184,000; 2278,000;10631,000;106,62038
1082,01;11588,000; 2486,000;11025,000;106,59328
1086,48;11865,000; 2488,000;11325,000;106,11067
1090,94;11541,000; 2081,000;10975,000;106,36384
1095,39;12820,000; 3026,000;12290,000;105,72107
1099,85;12408,000; 2345,000;11921,000;105,08563
1104,29;12680,000; 2403,000;12226,000;104,62181
1108,73;12468,000; 2060,000;12064,000;104,03838
1113,17;13208,000; 2768,000;12897,000;103,07039
1117,61;12908,000; 2351,000;12709,000;101,92122
1122,03;13244,000; 2714,000;13178,000;100,63073
1126,46;12724,000; 2237,000;12873,000;98,59910
1130,88;12514,000; 2154,000;12946,000;95,99703
1135,29;12998,000; 2780,000;13624,000;94,22722
1139,70;12350,000; 2109,000;13204,000;92,30284
1144,11;12504,000; 2181,000;13375,000;92,21905
1148,51;12762,000; 2244,000;13522,000;93,26122
1152,90;13119,000; 2301,000;13707,000;94,84482
1157,29;13069,000; 2006,000;13470,000;96,50209
1161,68;13537,000; 2262,000;13824,000;97,51773
1166,06;13532,000; 2248,000;13803,000;97,65469
1170,44;13595,000; 2494,000;13961,000;96,80823
1174,81;12981,000; 2196,000;13387,000;96,37208
1179,18;13008,000; 2339,000;13505,000;95,54899
