A_PCCF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4522,000; 2159,000; 6686,000;52,19792
1019,01; 4751,000; 2263,000; 7134,000;51,07781
1023,54; 5062,000; 2460,000; 7582,000;50,80047
1028,07; 5059,000; 2357,000; 7740,000;50,19506
1032,59; 5085,000; 2222,000; 7947,000;50,00873
1037,10; 5273,000; 2251,000; 8409,000;49,07437
1041,62; 5493,000; 2335,000; 8775,000;49,03727
1046,12; 6095,000; 2824,000; 9555,000;48,59605
1050,62; 5643,000; 2300,000; 9240,000;48,17003
1055,12; 5624,000; 2181,000; 9387,000;47,77963
1059,62; 5520,000; 2009,000; 9358,000;47,77521
1064,10; 6010,000; 2401,000;10031,000;47,30013
1068,59; 6307,000; 2570,000;10411,000;47,65974
1073,07; 6213,000; 2356,000;10516,000;47,26716
1077,54; 6212,000; 2278,000;10631,000;47,09685
1082,01; 6528,000; 2486,000;11025,000;47,33575
1086,48; 6631,000; 2488,000;11325,000;46,88243
1090,94; 6257,000; 2081,000;10975,000;46,95300
1095,39; 7376,000; 3026,000;12290,000;46,95596
1099,85; 6776,000; 2345,000;11921,000;46,27193
1104,29; 6956,000; 2403,000;12226,000;46,35040
1108,73; 6683,000; 2060,000;12064,000;46,21152
1113,17; 7476,000; 2768,000;12897,000;46,48040
1117,61; 7142,000; 2351,000;12709,000;46,25410
1122,03; 7574,000; 2714,000;13178,000;46,44495
1126,46; 7162,000; 2237,000;12873,000;46,30500
1130,88; 7133,000; 2154,000;12946,000;46,13603
1135,29; 7840,000; 2780,000;13624,000;46,66175
1139,70; 7245,000; 2109,000;13204,000;46,29112
1144,11; 7337,000; 2181,000;13375,000;46,06039
1148,51; 7449,000; 2244,000;13522,000;46,15180
1152,90; 7550,000; 2301,000;13707,000;46,01964
1157,29; 7288,000; 2006,000;13470,000;46,07467
1161,68; 7598,000; 2262,000;13824,000;46,15118
1166,06; 7584,000; 2248,000;13803,000;46,17914
1170,44; 7786,000; 2494,000;13961,000;46,14982
1174,81; 7365,000; 2196,000;13387,000;46,18890
